method_key,method,bits,ip_bias,ip_variance,score_relative_mse,softmax_kl,topk_overlap,value_relative_mse,output_cosine
absmax_k4v4,absmax,K4V4,0.06270326750183647,21.4106147126718,0.01550720234147527,0.046386873264881695,0.8477150743657892,0.01658451154997403,0.9447546005249023
fp16,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000303333455867
hadamard_lm_k3v4,hadamard_lm,K3V4,0.6307140981609171,16.77425305409865,0.013197981583123857,0.03528733564202081,0.8567826720801267,0.00911227630620653,0.9589237570762634
hadamard_lm_k4v3,hadamard_lm,K4V3,0.17286548780446703,4.632287587631833,0.003546291300815276,0.009510336644862864,0.9189275611530651,0.033058104951950634,0.9786581207405437
hadamard_lm_k4v4,hadamard_lm,K4V4,0.17286548780446703,4.632287587631833,0.003546291300815276,0.009510336644862864,0.9189275611530651,0.00911227630620653,0.9867859401486136
randhadamard_lm_k3v4,hadamard_lm,K3V4,0.6356837873939764,16.730654044584796,0.013521877117455006,0.03520588166165081,0.8571499938314612,0.009082605130970478,0.9587483433159915
randhadamard_lm_k4v3,hadamard_lm,K4V3,0.15122476059266113,4.588923849842765,0.0037306514780291104,0.009369736939499324,0.9186667664484545,0.03294994174079462,0.9791106906804171
randhadamard_lm_k4v4,hadamard_lm,K4V4,0.15122476059266113,4.588923849842765,0.0037306514780291104,0.009369736939499324,0.9186667664484545,0.009082605130970478,0.9870789294893091
randortho_lm_k3v4,hadamard_lm,K3V4,1.118625340305946,18.198382556438446,0.014518913855268196,0.038788429969413715,0.8534490384838798,0.009169893762604757,0.9553082314404574
randortho_lm_k4v3,hadamard_lm,K4V3,0.30914069610563194,5.196303077719429,0.004014059837738221,0.010675679035061463,0.9159912087700584,0.033438272435556755,0.9768274372274225
randortho_lm_k4v4,hadamard_lm,K4V4,0.30914069610563194,5.196303077719429,0.004014059837738221,0.010675679035061463,0.9159912087700584,0.009169893762604757,0.985191900621761
