base_k_bits,bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,projection_dim,qjl_seed,residual_bits,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
2,K2+QJL,Hadamard-LM key plus QJL residual correction,1.4939504861831665,0.03326661139726639,61.39484786987305,2,0.10805816203355789,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.3.self_attn,3,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.8352315425872803,0.406026154756546,64,3,1,0.994167685508728,0.03326661139726639,0.4086483418941498,0.514404296875,4,0.009014054201543331,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,0.4918409585952759,0.009463589638471603,17.858442306518555,3,0.03214266151189804,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.3.self_attn,3,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.9459871053695679,0.11886081099510193,64,3,1,0.2828179597854614,0.009463589638471603,0.12956026196479797,0.6727294921875,4,0.009014054201543331,per_token_head_rms
3,K3,pure Hadamard-LM key reconstruction,1.0082714557647705,0.007368854247033596,30.035552978515625,3,0.031858544796705246,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm_k3,hadamard_lm_k3,0.9703860878944397,0.05910372734069824,64,4,0,0.4851900637149811,0.007368854247033596,0.1753406673669815,0.73388671875,4,0.009286091662943363,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,4.744683265686035,0.026366865262389183,88.59727478027344,2,0.10702714323997498,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm_k2,hadamard_lm_k2,0.9130880832672119,0.1785547435283661,64,4,0,1.7360827922821045,0.026366865262389183,0.5329262018203735,0.5731201171875,4,0.009286091662943363,per_token_head_rms
2,K2+QJL,Hadamard-LM key plus QJL residual correction,0.15593388676643372,0.027894407510757446,117.52200317382812,2,0.10702714323997498,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.8673169016838074,0.28562599420547485,64,4,1,1.8366613388061523,0.027894407510757446,0.7005666494369507,0.539501965045929,4,0.009286091662943363,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,0.25358718633651733,0.009056768380105495,38.10068893432617,3,0.031858544796705246,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.9592220783233643,0.08452168852090836,64,4,1,0.5963280200958252,0.009056768380105495,0.23732022941112518,0.7046142816543579,4,0.009286091662943363,per_token_head_rms
3,K3,pure Hadamard-LM key reconstruction,0.8612873554229736,0.006363299675285816,25.989730834960938,3,0.03026793897151947,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm_k3,hadamard_lm_k3,0.9760158658027649,0.04768868908286095,64,5,0,0.41768044233322144,0.006363299675285816,0.18517586588859558,0.68359375,4,0.009073921479284763,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,4.509397029876709,0.025015803053975105,84.75408172607422,2,0.10253220051527023,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm_k2,hadamard_lm_k2,0.9333529472351074,0.13037621974945068,64,5,0,1.6420115232467651,0.025015803053975105,0.4929333031177521,0.538818359375,4,0.009073921479284763,per_token_head_rms
2,K2+QJL,Hadamard-LM key plus QJL residual correction,0.0177781879901886,0.0313376858830452,131.64599609375,2,0.10253220051527023,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.9047170877456665,0.19768933951854706,64,5,1,2.056973457336426,0.0313376858830452,0.8632776141166687,0.4710937440395355,4,0.009073921479284763,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,0.0668836459517479,0.008589169941842556,36.07771682739258,3,0.03026793897151947,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.964048445224762,0.07380940765142441,64,5,1,0.5637842416763306,0.008589169941842556,0.2868112027645111,0.640820324420929,4,0.009073921479284763,per_token_head_rms
