a_bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_method,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,method,method_key,output_cosine,output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,qjl_method,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_relative_mse,w_bits
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,model.layers.0.self_attn,0,1.0,0.0,FP16,fp16,fp16,fp16,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,16,0.0,0.0,16
4,direct W/A fake quant plus uniform KV fake quant,-0.07506979256868362,0.26950737833976746,18.37333869934082,4,0.1563824713230133,0.18285374343395233,K4V4,absmax,model.layers.0.self_attn,0,0.8976316452026367,0.2613646984100342,W4A4,direct_absmax,attn_direct_absmax_w4a4_absmax_k4v4,attn_direct_absmax_w4a4_absmax_k4v4,0.6462252140045166,0.6721366047859192,0.8401217063268026,0.29660678406556445,0.2260281890630722,,0.28717148303985596,0.26950737833976746,0.08255413174629211,0.2769775390625,4,0.5074096918106079,0.510607898235321,4
4,rotated uniform W/A fake quant plus rotated KV fake quant,-0.17952924966812134,0.045816197991371155,3.092191219329834,4,0.020397478714585304,0.02858504094183445,K4V4,hadamard_lm,model.layers.0.self_attn,0,0.9069627523422241,0.17751537263393402,W4A4,rot_absmax,attn_rot_absmax_w4a4_hlm_k4v4,attn_rot_absmax_w4a4_hlm_k4v4,0.4609386920928955,2.80769419670105,0.8624085585276285,0.4434821115185817,0.05058709532022476,,0.04881909489631653,0.045816197991371155,0.01570424996316433,0.58154296875,4,1.259461760520935,1.2599639892578125,4
4,rotated non-uniform W/A and KV fake quant,-0.02253277786076069,0.0075341020710766315,0.513278067111969,4,0.0006256662891246378,0.009013096801936626,K4V4,hadamard_lm,model.layers.0.self_attn,0,0.9877647757530212,0.024566233158111572,W4A4,rot_lm,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,0.8371601700782776,0.4259360730648041,0.9735855658849081,0.05857976068121692,0.0009080592426471412,,0.008027903735637665,0.0075341020710766315,0.0029101052787154913,0.879467785358429,4,0.17420555651187897,0.18035244941711426,4
4,weight and key bit reduction in fake quant,0.0015083331381902099,0.027693936601281166,1.8885774612426758,3,0.001117852982133627,0.03155474364757538,K3V4,hadamard_lm,model.layers.0.self_attn,0,0.9422012567520142,0.11776000261306763,W3A4,rot_lm,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,0.5994928479194641,1.7323827743530273,0.9378208915392557,0.15899886097759008,0.001950159203261137,,0.029509058222174644,0.027693936601281166,0.015327014029026031,0.8044677972793579,4,0.4739285707473755,0.4803047776222229,3
3,activation and value bit reduction in fake quant,-0.10706601291894913,0.02385963313281536,1.6156375408172607,4,0.006044525187462568,0.01395420078188181,K4V3,hadamard_lm,model.layers.0.self_attn,0,0.9774143695831299,0.05293106660246849,W4A3,rot_lm,attn_rot_lm_w4a3_hlm_k4v3,attn_rot_lm_w4a3_hlm_k4v3,0.8027662634849548,0.525113582611084,0.9471508264541626,0.14428472984582186,0.007355357985943556,,0.0254234466701746,0.02385963313281536,0.006687001790851355,0.812670886516571,3,0.41945430636405945,0.44670364260673523,4
16,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,fp16,model.layers.1.self_attn,1,1.0,0.0,FP16,fp16,fp16,fp16,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,16,0.0,0.0,16
4,direct W/A fake quant plus uniform KV fake quant,1.6202733516693115,0.1206694096326828,72.89411926269531,4,0.04560045897960663,0.058097779750823975,K4V4,absmax,model.layers.1.self_attn,1,0.21331168711185455,0.9845076203346252,W4A4,direct_absmax,attn_direct_absmax_w4a4_absmax_k4v4,attn_direct_absmax_w4a4_absmax_k4v4,0.2487356811761856,1.0891616344451904,0.7323917349179586,0.37429992357889813,0.1455400139093399,,1.1799907684326172,0.1206694096326828,0.2595767378807068,0.5572754144668579,4,0.9317592978477478,0.9388631582260132,4
4,rotated uniform W/A fake quant plus rotated KV fake quant,3.1234726905822754,0.08295046538114548,42.157405853271484,4,0.011926643550395966,0.021573804318904877,K4V4,hadamard_lm,model.layers.1.self_attn,1,0.34061551094055176,4.930294036865234,W4A4,rot_absmax,attn_rot_absmax_w4a4_hlm_k4v4,attn_rot_absmax_w4a4_hlm_k4v4,0.28381961584091187,8.915365219116211,0.8657537301381429,0.48872567775348824,0.030890638008713722,,0.8111482858657837,0.08295046538114548,0.07083886861801147,0.7652587890625,4,1.423359751701355,1.4202979803085327,4
4,rotated non-uniform W/A and KV fake quant,0.5717614889144897,0.0067816018126904964,3.9172675609588623,4,0.0009113719570450485,0.010688300244510174,K4V4,hadamard_lm,model.layers.1.self_attn,1,0.833267092704773,0.3726659119129181,W4A4,rot_lm,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,0.5631381869316101,1.7956812381744385,0.964309811592102,0.08250848279567435,0.0024314301554113626,,0.06631529331207275,0.0067816018126904964,0.01684076525270939,0.8663574457168579,4,0.24418264627456665,0.25257983803749084,4
4,weight and key bit reduction in fake quant,1.3638770580291748,0.022040875628590584,11.93384075164795,3,0.00260818749666214,0.03808944299817085,K3V4,hadamard_lm,model.layers.1.self_attn,1,0.6477901935577393,0.9213231801986694,W3A4,rot_lm,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,0.3508167564868927,5.0142927169799805,0.9304254452387491,0.1819345036831995,0.005999283399432898,,0.21553125977516174,0.022040875628590584,0.05027363449335098,0.7875732183456421,4,0.5371960401535034,0.5409924983978271,3
