method_key,linear_bits,kv_bits,projection_relative_mse,score_relative_mse,softmax_kl,topk_overlap,layer_output_relative_mse,layer_output_cosine
attn_direct_absmax_w4a4_absmax_k4v4,W4A4,K4V4,0.36340148007553635,0.12862644166770307,0.599041954360225,0.4817405031485991,1.3142274807799945,0.25045729225332086
attn_rot_absmax_w4a4_hlm_k4v4,W4A4,K4V4,0.1437062992799011,0.04389863694086671,0.1601272966204719,0.7132335332306948,1.6183423962105403,0.597001617605036
attn_rot_lm_w3a4_hlm_k3v4,W3A4,K3V4,0.05486248399018112,0.0184786097061905,0.187293035232208,0.6808793544769287,0.28754612464796414,0.8645892305807634
attn_rot_lm_w4a3_hlm_k4v3,W4A3,K4V3,0.05337419466708194,0.00857954999347302,0.0723550880793482,0.7876875427636233,0.18693656355819918,0.9073712446472861
attn_rot_lm_w4a4_hlm_k4v4,W4A4,K4V4,0.02322788310156091,0.005035647889599204,0.057383905281312764,0.8048839216882532,0.10588312504643743,0.9478505226698789
fp16,FP16,K16V16,0.0,0.0,0.0,1.0,0.0,1.0
