method_key,method,bits,ip_bias,ip_variance,score_relative_mse,softmax_kl,topk_overlap,output_cosine
hadamard_lm_k2,hadamard_lm_k2,K2,-0.22937223315238953,5.378613471984863,0.08156148344278336,0.028200499713420868,1.0,0.9623898267745972
hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,K2+QJL,-0.005213482771068811,6.994173526763916,0.10503291338682175,0.04393241927027702,1.0,0.9294660091400146
hadamard_lm_k3,hadamard_lm_k3,K3,0.03799604997038841,1.9845632314682007,0.02982414700090885,0.013260754756629467,1.0,0.966417670249939
hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,K3+QJL,-0.10012591630220413,2.4602608680725098,0.03709664195775986,0.016127394512295723,1.0,0.9672179818153381
