a_bits,block_size,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_block_size,kv_method,kv_rotation_backend,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,linear_rotation_backend,method,method_key,mxfp4_group_size,o_proj_domain_block_size,output_cosine,output_relative_mse,pre_o_output_cosine,pre_o_output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_path,value_relative_mse,w_bits
4,64,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,3.0055530071258545,0.012414156459271908,18.015548706054688,3,0.006411348469555378,0.03700758144259453,K3V4,64,hadamard_lm,hadamard,model.layers.4.self_attn,4,0.8980046510696411,0.24122202396392822,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.8902446627616882,0.2880711257457733,0.8902431726455688,0.2880706489086151,0.989118774731954,0.02199082278336088,0.007026148494333029,0.42263907194137573,0.012414156459271908,0.021710634231567383,0.8330078125,4,0.05253497138619423,o_proj_absorb,0.06163722276687622,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.5.self_attn,5,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,64,MXFP4 W4A4 linear fake quant plus HLM K4V4,1.8945473432540894,0.006827022414654493,9.534658432006836,4,0.005584601312875748,0.014014022424817085,K4V4,64,hadamard_lm,hadamard,model.layers.5.self_attn,5,0.934157133102417,0.16747888922691345,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.9315580129623413,0.1893399953842163,0.9315544366836548,0.18933825194835663,0.9908241828282675,0.018634264046947163,0.006071543321013451,0.20506200194358826,0.006827022414654493,0.015703342854976654,0.887451171875,4,0.044246647506952286,o_proj_absorb,0.05357949808239937,4
4,64,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,1.830430269241333,0.005149343516677618,6.548397064208984,4,0.002962981816381216,0.01140682864934206,K4V4,64,hadamard_lm,hadamard,model.layers.5.self_attn,5,0.9486045241355896,0.12571489810943604,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.937940776348114,0.15944071114063263,0.937937319278717,0.15943850576877594,0.9933063387870789,0.013530177297070622,0.003657376626506448,0.1546698659658432,0.005149343516677618,0.010019049979746342,0.896484375,4,0.033970173448324203,o_proj_absorb,0.042879778891801834,4
4,64,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,0.8719792366027832,0.0034142732620239258,5.803101062774658,4,0.0018121286993846297,0.010303640738129616,K4V4,64,hadamard_lm,hadamard,model.layers.5.self_attn,5,0.957166314125061,0.09202667325735092,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.9505952000617981,0.11373135447502136,0.9505913853645325,0.11373066157102585,0.9954979221026102,0.009027636415945986,0.002350620925426483,0.10255388915538788,0.0034142732620239258,0.00746315810829401,0.8962646722793579,4,0.022920159623026848,o_proj_absorb,0.032354686409235,4
4,64,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,2.769293785095215,0.013310765847563744,17.919044494628906,3,0.005318889860063791,0.03574937582015991,K3V4,64,hadamard_lm,hadamard,model.layers.5.self_attn,5,0.8879607915878296,0.2808128893375397,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.8698108792304993,0.3459504544734955,0.8698075413703918,0.345948189496994,0.9889430006345113,0.02235064748674631,0.006044596899300814,0.3998129963874817,0.013310765847563744,0.025685010477900505,0.834912121295929,4,0.05568845570087433,o_proj_absorb,0.06467336416244507,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.6.self_attn,6,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,64,MXFP4 W4A4 linear fake quant plus HLM K4V4,1.669679045677185,0.006914351135492325,12.567240715026855,4,0.005028602667152882,0.013779704459011555,K4V4,64,hadamard_lm,hadamard,model.layers.6.self_attn,6,0.9411690831184387,0.13839058578014374,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.9391535520553589,0.14876008033752441,0.9391506314277649,0.14876121282577515,0.9899890422821045,0.02020727765435974,0.006339338142424822,0.23992295563220978,0.006914351135492325,0.02073477767407894,0.882153332233429,4,0.04925389215350151,o_proj_absorb,0.05787106975913048,4
4,64,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,1.6270411014556885,0.004942015744745731,8.327736854553223,4,0.002738561714068055,0.011401969939470291,K4V4,64,hadamard_lm,hadamard,model.layers.6.self_attn,6,0.9458187222480774,0.11172462999820709,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.942791223526001,0.1248326525092125,0.9427890181541443,0.12483210116624832,0.9926942189534506,0.014785066014155746,0.0036458810791373253,0.1714843511581421,0.004942015744745731,0.012952509336173534,0.8931884765625,4,0.037970755249261856,o_proj_absorb,0.04654686152935028,4
4,64,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,1.148833990097046,0.004103808663785458,7.793727397918701,4,0.0018482147715985775,0.010585354641079903,K4V4,64,hadamard_lm,hadamard,model.layers.6.self_attn,6,0.9566277265548706,0.08825293928384781,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.9536789059638977,0.09837307780981064,0.9536757469177246,0.09837406873703003,0.9949976007143656,0.01010240699785451,0.002369863213971257,0.14239917695522308,0.004103808663785458,0.010826067999005318,0.895190417766571,4,0.026089143007993698,o_proj_absorb,0.034870587289333344,4
4,64,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,3.3146777153015137,0.0156930610537529,23.863330841064453,3,0.00537957763299346,0.03570689260959625,K3V4,64,hadamard_lm,hadamard,model.layers.6.self_attn,6,0.8934242725372314,0.2316693365573883,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.8817472457885742,0.28008532524108887,0.881743848323822,0.2800886332988739,0.9878674546877543,0.024786181282252073,0.006231279112398624,0.5445377826690674,0.0156930610537529,0.03729186952114105,0.8290771245956421,4,0.06274768710136414,o_proj_absorb,0.07121028006076813,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.7.self_attn,7,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,64,MXFP4 W4A4 linear fake quant plus HLM K4V4,1.169034481048584,0.01238262839615345,9.200217247009277,4,0.006944808177649975,0.015359420329332352,K4V4,64,hadamard_lm,hadamard,model.layers.7.self_attn,7,0.9420341849327087,0.13021788001060486,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.953538179397583,0.10579331964254379,0.9535344839096069,0.10579320788383484,0.9892072677612305,0.021885891755421955,0.008207150734961033,0.16510717570781708,0.01238262839615345,0.024344898760318756,0.857373058795929,4,0.05050571635365486,o_proj_absorb,0.059605564922094345,4
4,64,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,1.1651889085769653,0.007917833514511585,5.399109840393066,4,0.003358747810125351,0.011833308264613152,K4V4,64,hadamard_lm,hadamard,model.layers.7.self_attn,7,0.9437540769577026,0.11136674880981445,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.9506770968437195,0.10086584091186523,0.9506728649139404,0.10086654871702194,0.9921286304791769,0.015902557255079348,0.004457815084606409,0.1055746078491211,0.007917833514511585,0.012211896479129791,0.8829345703125,4,0.03989110887050629,o_proj_absorb,0.04886215180158615,4
4,64,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,0.6791036128997803,0.006182369776070118,4.814615249633789,4,0.0022995718754827976,0.010821351781487465,K4V4,64,hadamard_lm,hadamard,model.layers.7.self_attn,7,0.9593924283981323,0.08526291698217392,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.9625450372695923,0.08267398178577423,0.9625412225723267,0.08267389982938766,0.9946630994478861,0.010747265148287019,0.0029409320559352636,0.08243432641029358,0.006182369776070118,0.012864584103226662,0.888964831829071,4,0.027001291513442993,o_proj_absorb,0.03621469438076019,4
4,64,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,1.9727227687835693,0.022220203652977943,15.070233345031738,3,0.006089857313781977,0.03591856732964516,K3V4,64,hadamard_lm,hadamard,model.layers.7.self_attn,7,0.8828235864639282,0.2827550768852234,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.8965966701507568,0.28041020035743713,0.8965927362442017,0.2804112136363983,0.9873860875765482,0.02564816176891327,0.007571795489639044,0.2962791919708252,0.022220203652977943,0.05178041011095047,0.811230480670929,4,0.06328283250331879,o_proj_absorb,0.07173848152160645,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.8.self_attn,8,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,64,MXFP4 W4A4 linear fake quant plus HLM K4V4,1.7001795768737793,0.006230050232261419,22.158079147338867,4,0.008452779613435268,0.017125971615314484,K4V4,64,hadamard_lm,hadamard,model.layers.8.self_attn,8,0.9221961498260498,0.1569090634584427,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.9297793507575989,0.1513679176568985,0.9297766089439392,0.15136966109275818,0.9862829645474752,0.027629311196506023,0.009950490668416023,0.3913857638835907,0.006230050232261419,0.018940243870019913,0.890942394733429,4,0.06448466330766678,o_proj_absorb,0.07249027490615845,4
4,64,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,2.3006751537323,0.0042284103110432625,11.70773983001709,4,0.00413147546350956,0.012776799499988556,K4V4,64,hadamard_lm,hadamard,model.layers.8.self_attn,8,0.9389171600341797,0.1262073665857315,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.9471715092658997,0.11462702602148056,0.947169840335846,0.11462636291980743,0.9899954199790955,0.020191027782857418,0.006469140760600567,0.26563823223114014,0.0042284103110432625,0.012723814696073532,0.909716784954071,4,0.04997246712446213,o_proj_absorb,0.058471404016017914,4
4,64,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,1.5361894369125366,0.003131389617919922,10.23026180267334,4,0.0027142802719026804,0.011407410725951195,K4V4,64,hadamard_lm,hadamard,model.layers.8.self_attn,8,0.9547669291496277,0.09227662533521652,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.9606084823608398,0.08613871037960052,0.9606066346168518,0.08613808453083038,0.9929603536923727,0.014222275698557496,0.004311219323426485,0.1967209279537201,0.003131389617919922,0.01118207722902298,0.9079345464706421,4,0.03564132750034332,o_proj_absorb,0.044292137026786804,4
4,64,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,4.53684139251709,0.013870333321392536,35.18446350097656,3,0.007481059059500694,0.03843430429697037,K3V4,64,hadamard_lm,hadamard,model.layers.8.self_attn,8,0.8632041811943054,0.30959752202033997,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.8880618810653687,0.30674630403518677,0.8880605101585388,0.3067464530467987,0.983845849831899,0.03280050835261742,0.010683867149055004,0.871365487575531,0.013870333321392536,0.04259401559829712,0.8480224609375,4,0.08023659884929657,o_proj_absorb,0.08891741931438446,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.9.self_attn,9,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
