method_key,linear_bits,kv_bits,value_path,block_size,kv_block_size,o_proj_domain_block_size,projection_relative_mse,score_relative_mse,softmax_kl,topk_overlap,pre_o_output_relative_mse,pre_o_output_cosine,layer_output_relative_mse,layer_output_cosine
attn_mxfp4_w4a4_hlm_k4v4,W4A4,K4V4,o_proj_absorb,64,64.0,64.0,0.02376679325419845,0.012066083134744655,0.02453803010708229,0.8885908614505421,0.1258240823041309,0.9416261152787642,0.12004023409363898,0.9425162700089541
attn_rot_lm_w3a4_hlm_k3v4,W3A4,K3V4,o_proj_absorb,64,64.0,64.0,0.04028127700175074,0.020134033931588583,0.04580372106283903,0.8480701717463407,0.48714327202601865,0.8555869866501201,0.25207172774455766,0.884712278842926
attn_rot_lm_w4a4_hlm_k4v4,W4A4,K4V4,o_proj_absorb,64,64.0,64.0,0.016012862111286573,0.005700511095876043,0.013419326849874447,0.9101584634997628,0.14345493946563115,0.9408655952323567,0.08483271495523778,0.9585145874456926
attn_rot_mxfp4_w4a4_hlm_k4v4,W4A4,K4V4,o_proj_absorb,64,64.0,64.0,0.023637942627608547,0.007450338834050027,0.016203574709255587,0.9046297913247888,0.20041910321875053,0.9224473427642476,0.11820063248954037,0.9427855963056738
fp16,FP16,K16V16,reference,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
