bits,block_size,codebook,cosine,element_format,int_gemm_friendly,layer,levels,method,mxfp4_group_size,qmax,quantizer_type,relative_mse,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,sqnr_db,weight_finite_ratio,weight_inf_count,weight_kurtosis,weight_max_mean_ratio,weight_mean,weight_nan_count,weight_numel,weight_outlier_ratio_3sigma,weight_std
4,128,,0.9776443839073181,,Yes,model.layers.0.self_attn.k_proj,,direct_absmax,,7,uniform integer-like,0.04566590487957001,none,none,,4096,,flat_block_absmax,13.40407943725586,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
3,128,,0.9213821291923523,,Yes,model.layers.0.self_attn.k_proj,,direct_absmax,,3,uniform integer-like,0.16190630197525024,none,none,,4096,,flat_block_absmax,7.907362461090088,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
2,128,,0.7444613575935364,,Yes,model.layers.0.self_attn.k_proj,,direct_absmax,,1,uniform integer-like,0.4891491234302521,none,none,,4096,,flat_block_absmax,3.1055874824523926,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
4,128,,0.988242506980896,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.self_attn.k_proj,,mxfp4,32,,mxfp4_e2m1_fake_quant,0.023545317351818085,none,none,,16384,E8M0_like_power2,group_power2,16.280954360961914,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
4,128,,0.9942547082901001,,Yes-ish; needs rotation handling,model.layers.0.self_attn.k_proj,,hadamard_absmax,,7,uniform integer-like,0.011712387204170227,polar_hadamard_blockwise,hadamard,11,4096,,last_dim_block_absmax,19.313547134399414,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
3,128,,0.9696502089500427,,Yes-ish; needs rotation handling,model.layers.0.self_attn.k_proj,,hadamard_absmax,,3,uniform integer-like,0.06384974718093872,polar_hadamard_blockwise,hadamard,11,4096,,last_dim_block_absmax,11.948408126831055,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
2,128,,0.7740116715431213,,Yes-ish; needs rotation handling,model.layers.0.self_attn.k_proj,,hadamard_absmax,,1,uniform integer-like,0.5507210493087769,polar_hadamard_blockwise,hadamard,11,4096,,last_dim_block_absmax,2.5906834602355957,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
4,128,gaussian_lloyd_max_standard_normal,0.9956686496734619,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.k_proj,16,hadamard_lm,,,non-uniform codebook,0.008773871697485447,polar_hadamard_blockwise,hadamard,11,,,,20.568086624145508,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
3,128,gaussian_lloyd_max_standard_normal,0.9841456413269043,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.k_proj,8,hadamard_lm,,,non-uniform codebook,0.03164634108543396,polar_hadamard_blockwise,hadamard,11,,,,14.99676513671875,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
2,128,gaussian_lloyd_max_standard_normal,0.9441781640052795,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.k_proj,4,hadamard_lm,,,non-uniform codebook,0.10894116759300232,polar_hadamard_blockwise,hadamard,11,,,,9.628079414367676,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
4,128,gaussian_lloyd_max_standard_normal,0.9956554174423218,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.k_proj,16,randhadamard_lm,,,non-uniform codebook,0.008808416314423084,polar_randomized_hadamard_blockwise,randomized_hadamard,11,,,,20.551021575927734,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
3,128,gaussian_lloyd_max_standard_normal,0.9841474890708923,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.k_proj,8,randhadamard_lm,,,non-uniform codebook,0.03163709118962288,polar_randomized_hadamard_blockwise,randomized_hadamard,11,,,,14.998034477233887,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
2,128,gaussian_lloyd_max_standard_normal,0.9443395733833313,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.k_proj,4,randhadamard_lm,,,non-uniform codebook,0.10861377418041229,polar_randomized_hadamard_blockwise,randomized_hadamard,11,,,,9.64115047454834,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
4,128,gaussian_lloyd_max_standard_normal,0.9954184889793396,,No; dense random rotation is numeric-only in this experiment,model.layers.0.self_attn.k_proj,16,randortho_lm,,,non-uniform codebook,0.009265562519431114,polar_random_orthogonal_blockwise,random_orthogonal,11,,,,20.331283569335938,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
3,128,gaussian_lloyd_max_standard_normal,0.9829941987991333,,No; dense random rotation is numeric-only in this experiment,model.layers.0.self_attn.k_proj,8,randortho_lm,,,non-uniform codebook,0.03383534401655197,polar_random_orthogonal_blockwise,random_orthogonal,11,,,,14.706295013427734,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
2,128,gaussian_lloyd_max_standard_normal,0.9405624866485596,,No; dense random rotation is numeric-only in this experiment,model.layers.0.self_attn.k_proj,4,randortho_lm,,,non-uniform codebook,0.11542759090662003,polar_random_orthogonal_blockwise,random_orthogonal,11,,,,9.376903533935547,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
