bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
K16V16,baseline,0.0,0.0,0.0,,0.0,,,,model.layers.0.self_attn,0,fp16,fp16,1.0000003576278687,0.0,0.0,0.0,0.0,1.0,,0.0,
K4V4,uniform fake quant KV baseline,0.44917646050453186,0.0456007681787014,2.8348214626312256,4,0.025053368881344795,per_token_head_absmax,absmax_per_token_head,none,model.layers.0.self_attn,0,absmax,absmax_k4v4,0.9683602452278137,0.06843661516904831,0.04744657501578331,0.0456007681787014,0.012718480080366135,1.0,4,0.026279166340827942,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,0.07896365225315094,0.007245756220072508,0.47626370191574097,4,0.00874158926308155,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm,hadamard_lm_k4v4,0.9925957322120667,0.014915058389306068,0.007539046462625265,0.007245756220072508,0.002742252079769969,1.0,4,0.007661884650588036,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.03799624368548393,0.029824158176779747,1.9845637083053589,3,0.03274708613753319,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm,hadamard_lm_k3v4,0.966417670249939,0.06727977097034454,0.03103136643767357,0.029824158176779747,0.013260751962661743,1.0,4,0.007661884650588036,per_token_head_rms
