a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,32,MXFP4 E2M1 fake quant with 32-value group scales,0.9929154515266418,model.layers.0.self_attn.q_proj,mxfp4,mxfp4_w4a4,32,0.014167378656566143,none,none,,linear,18.487106323242188,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,32,Hadamard rotation + MXFP4 E2M1 fake quant,0.997374951839447,model.layers.0.self_attn.q_proj,rot_mxfp4,rot_mxfp4_w4a4,32,0.005295945797115564,block_hadamard_last_dim,hadamard,11,linear,22.76056480407715,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,32,non-uniform codebook fake quant; not native INT GEMM,0.9995970726013184,model.layers.0.self_attn.q_proj,rot_lm,rot_lm_w4a4,,0.002016004640609026,block_hadamard_last_dim,hadamard,11,linear,26.95508575439453,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,32,non-uniform codebook fake quant; not native INT GEMM,0.9989361763000488,model.layers.0.self_attn.q_proj,rot_lm,rot_lm_w3a4,,0.004180349875241518,block_hadamard_last_dim,hadamard,11,linear,23.787872314453125,3,non-uniform codebook,block_rms
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,32,MXFP4 E2M1 fake quant with 32-value group scales,0.9929110407829285,model.layers.0.self_attn.k_proj,mxfp4,mxfp4_w4a4,32,0.015305165201425552,none,none,,linear,18.15161895751953,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,32,Hadamard rotation + MXFP4 E2M1 fake quant,0.9977063536643982,model.layers.0.self_attn.k_proj,rot_mxfp4,rot_mxfp4_w4a4,32,0.004582195542752743,block_hadamard_last_dim,hadamard,11,linear,23.389263153076172,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,32,non-uniform codebook fake quant; not native INT GEMM,0.99973064661026,model.layers.0.self_attn.k_proj,rot_lm,rot_lm_w4a4,,0.0020270678214728832,block_hadamard_last_dim,hadamard,11,linear,26.931316375732422,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,32,non-uniform codebook fake quant; not native INT GEMM,0.9993643164634705,model.layers.0.self_attn.k_proj,rot_lm,rot_lm_w3a4,,0.0040793102234601974,block_hadamard_last_dim,hadamard,11,linear,23.89413070678711,3,non-uniform codebook,block_rms
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,32,MXFP4 E2M1 fake quant with 32-value group scales,0.9622097611427307,model.layers.0.self_attn.v_proj,mxfp4,mxfp4_w4a4,32,0.07416138797998428,none,none,,linear,11.298221588134766,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,32,Hadamard rotation + MXFP4 E2M1 fake quant,0.902378261089325,model.layers.0.self_attn.v_proj,rot_mxfp4,rot_mxfp4_w4a4,32,0.21869133412837982,block_hadamard_last_dim,hadamard,11,linear,6.6016845703125,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,32,non-uniform codebook fake quant; not native INT GEMM,0.9341640472412109,model.layers.0.self_attn.v_proj,rot_lm,rot_lm_w4a4,,0.13632798194885254,block_hadamard_last_dim,hadamard,11,linear,8.654150009155273,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,32,non-uniform codebook fake quant; not native INT GEMM,0.8404160141944885,model.layers.0.self_attn.v_proj,rot_lm,rot_lm_w3a4,,0.37236568331718445,block_hadamard_last_dim,hadamard,11,linear,4.290303707122803,3,non-uniform codebook,block_rms
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,32,MXFP4 E2M1 fake quant with 32-value group scales,0.9974169731140137,model.layers.0.self_attn.o_proj,mxfp4,mxfp4_w4a4,32,0.005656827241182327,none,none,,linear,22.47426986694336,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,32,Hadamard rotation + MXFP4 E2M1 fake quant,0.9989383220672607,model.layers.0.self_attn.o_proj,rot_mxfp4,rot_mxfp4_w4a4,32,0.002726746955886483,block_hadamard_last_dim,hadamard,11,linear,25.643550872802734,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,32,non-uniform codebook fake quant; not native INT GEMM,0.9993357062339783,model.layers.0.self_attn.o_proj,rot_lm,rot_lm_w4a4,,0.0016473857685923576,block_hadamard_last_dim,hadamard,11,linear,27.832046508789062,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,32,non-uniform codebook fake quant; not native INT GEMM,0.9984244704246521,model.layers.0.self_attn.o_proj,rot_lm,rot_lm_w3a4,,0.003639776958152652,block_hadamard_last_dim,hadamard,11,linear,24.389251708984375,3,non-uniform codebook,block_rms
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,32,MXFP4 E2M1 fake quant with 32-value group scales,0.9905369281768799,model.layers.0.mlp.gate_proj,mxfp4,mxfp4_w4a4,32,0.018947787582874298,none,none,,linear,17.224414825439453,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,32,Hadamard rotation + MXFP4 E2M1 fake quant,0.995481550693512,model.layers.0.mlp.gate_proj,rot_mxfp4,rot_mxfp4_w4a4,32,0.009205980226397514,block_hadamard_last_dim,hadamard,11,linear,20.359298706054688,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,32,non-uniform codebook fake quant; not native INT GEMM,0.9970320463180542,model.layers.0.mlp.gate_proj,rot_lm,rot_lm_w4a4,,0.006037904880940914,block_hadamard_last_dim,hadamard,11,linear,22.191139221191406,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,32,non-uniform codebook fake quant; not native INT GEMM,0.9929323196411133,model.layers.0.mlp.gate_proj,rot_lm,rot_lm_w3a4,,0.014312605373561382,block_hadamard_last_dim,hadamard,11,linear,18.442813873291016,3,non-uniform codebook,block_rms
