a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,down_activation_quantizer_type,down_weight_quantizer_type,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9617636203765869,non-uniform codebook,non-uniform codebook,model.layers.2.mlp,rot_lm,ffn_rot_lm_w3a4,,0.07642635703086853,block_hadamard_last_dim,hadamard,0,ffn,11.167569160461426,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9612381458282471,non-uniform codebook,non-uniform codebook,model.layers.2.mlp,rot_lm,ffn_rot_lm_w4a3,,0.07700982689857483,block_hadamard_last_dim,hadamard,0,ffn,11.134538650512695,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9395784139633179,non-uniform codebook,non-uniform codebook,model.layers.2.mlp,rot_lm,ffn_rot_lm_w3a3,,0.12010651081800461,block_hadamard_last_dim,hadamard,0,ffn,9.204334259033203,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999983310699463,,,model.layers.3.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,86.62117767333984,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9544165134429932,uniform integer-like,uniform integer-like,model.layers.3.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.09600017964839935,none,none,,ffn,10.177279472351074,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9740177392959595,uniform integer-like,uniform integer-like,model.layers.3.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.05453447997570038,block_hadamard_last_dim,hadamard,0,ffn,12.63328742980957,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9815368056297302,non-uniform codebook,non-uniform codebook,model.layers.3.mlp,rot_lm,ffn_rot_lm_w4a4,,0.036730166524648666,block_hadamard_last_dim,hadamard,0,ffn,14.349770545959473,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9569559693336487,non-uniform codebook,non-uniform codebook,model.layers.3.mlp,rot_lm,ffn_rot_lm_w3a4,,0.08513738214969635,block_hadamard_last_dim,hadamard,0,ffn,10.698797225952148,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9570645689964294,non-uniform codebook,non-uniform codebook,model.layers.3.mlp,rot_lm,ffn_rot_lm_w4a3,,0.08453958481550217,block_hadamard_last_dim,hadamard,0,ffn,10.729398727416992,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9330708980560303,non-uniform codebook,non-uniform codebook,model.layers.3.mlp,rot_lm,ffn_rot_lm_w3a3,,0.1309994012117386,block_hadamard_last_dim,hadamard,0,ffn,8.827306747436523,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999926090240479,,,model.layers.4.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,89.0013198852539,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9530347585678101,uniform integer-like,uniform integer-like,model.layers.4.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.09940273314714432,none,none,,ffn,10.026016235351562,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9738303422927856,uniform integer-like,uniform integer-like,model.layers.4.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.054664503782987595,block_hadamard_last_dim,hadamard,0,ffn,12.622945785522461,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9813599586486816,non-uniform codebook,non-uniform codebook,model.layers.4.mlp,rot_lm,ffn_rot_lm_w4a4,,0.03699590265750885,block_hadamard_last_dim,hadamard,0,ffn,14.318464279174805,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9565649032592773,non-uniform codebook,non-uniform codebook,model.layers.4.mlp,rot_lm,ffn_rot_lm_w3a4,,0.08565542101860046,block_hadamard_last_dim,hadamard,0,ffn,10.67245101928711,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9567034840583801,non-uniform codebook,non-uniform codebook,model.layers.4.mlp,rot_lm,ffn_rot_lm_w4a3,,0.08509138226509094,block_hadamard_last_dim,hadamard,0,ffn,10.701143264770508,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9325873851776123,non-uniform codebook,non-uniform codebook,model.layers.4.mlp,rot_lm,ffn_rot_lm_w3a3,,0.1316239982843399,block_hadamard_last_dim,hadamard,0,ffn,8.806649208068848,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.999995768070221,,,model.layers.5.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,90.6009521484375,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9499099254608154,uniform integer-like,uniform integer-like,model.layers.5.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.10669441521167755,none,none,,ffn,9.718583106994629,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.97287917137146,uniform integer-like,uniform integer-like,model.layers.5.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.056892961263656616,block_hadamard_last_dim,hadamard,0,ffn,12.44941520690918,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9807577729225159,non-uniform codebook,non-uniform codebook,model.layers.5.mlp,rot_lm,ffn_rot_lm_w4a4,,0.03816485032439232,block_hadamard_last_dim,hadamard,0,ffn,14.183363914489746,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.955512523651123,non-uniform codebook,non-uniform codebook,model.layers.5.mlp,rot_lm,ffn_rot_lm_w3a4,,0.08746617287397385,block_hadamard_last_dim,hadamard,0,ffn,10.581598281860352,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9551999568939209,non-uniform codebook,non-uniform codebook,model.layers.5.mlp,rot_lm,ffn_rot_lm_w4a3,,0.08788671344518661,block_hadamard_last_dim,hadamard,0,ffn,10.560768127441406,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.930644690990448,non-uniform codebook,non-uniform codebook,model.layers.5.mlp,rot_lm,ffn_rot_lm_w3a3,,0.13488546013832092,block_hadamard_last_dim,hadamard,0,ffn,8.700348854064941,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999969601631165,,,model.layers.6.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,91.6544189453125,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9495998024940491,uniform integer-like,uniform integer-like,model.layers.6.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.10790039598941803,none,none,,ffn,9.669770240783691,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9726893901824951,uniform integer-like,uniform integer-like,model.layers.6.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.057179465889930725,block_hadamard_last_dim,hadamard,0,ffn,12.42759895324707,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9807482957839966,non-uniform codebook,non-uniform codebook,model.layers.6.mlp,rot_lm,ffn_rot_lm_w4a4,,0.038154058158397675,block_hadamard_last_dim,hadamard,0,ffn,14.184593200683594,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9551559686660767,non-uniform codebook,non-uniform codebook,model.layers.6.mlp,rot_lm,ffn_rot_lm_w3a4,,0.08811116218566895,block_hadamard_last_dim,hadamard,0,ffn,10.549690246582031,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9552682042121887,non-uniform codebook,non-uniform codebook,model.layers.6.mlp,rot_lm,ffn_rot_lm_w4a3,,0.0876731127500534,block_hadamard_last_dim,hadamard,0,ffn,10.571335792541504,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.930128812789917,non-uniform codebook,non-uniform codebook,model.layers.6.mlp,rot_lm,ffn_rot_lm_w3a3,,0.13578756153583527,block_hadamard_last_dim,hadamard,0,ffn,8.67140007019043,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999971985816956,,,model.layers.7.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,92.00469207763672,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9464699625968933,uniform integer-like,uniform integer-like,model.layers.7.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.11515191942453384,none,none,,ffn,9.387288093566895,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9710960984230042,uniform integer-like,uniform integer-like,model.layers.7.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.06058691069483757,block_hadamard_last_dim,hadamard,0,ffn,12.176212310791016,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9796772003173828,non-uniform codebook,non-uniform codebook,model.layers.7.mlp,rot_lm,ffn_rot_lm_w4a4,,0.04026622325181961,block_hadamard_last_dim,hadamard,0,ffn,13.950591087341309,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9530926942825317,non-uniform codebook,non-uniform codebook,model.layers.7.mlp,rot_lm,ffn_rot_lm_w3a4,,0.09199894219636917,block_hadamard_last_dim,hadamard,0,ffn,10.36217212677002,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9525668025016785,non-uniform codebook,non-uniform codebook,model.layers.7.mlp,rot_lm,ffn_rot_lm_w4a3,,0.09280236065387726,block_hadamard_last_dim,hadamard,0,ffn,10.324410438537598,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.926222562789917,non-uniform codebook,non-uniform codebook,model.layers.7.mlp,rot_lm,ffn_rot_lm_w3a3,,0.1427588015794754,block_hadamard_last_dim,hadamard,0,ffn,8.453970909118652,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999970197677612,,,model.layers.8.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,92.5497817993164,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9471495747566223,uniform integer-like,uniform integer-like,model.layers.8.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.11286062747240067,none,none,,ffn,9.47457504272461,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9712386727333069,uniform integer-like,uniform integer-like,model.layers.8.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.06023503094911575,block_hadamard_last_dim,hadamard,0,ffn,12.201508522033691,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9798187017440796,non-uniform codebook,non-uniform codebook,model.layers.8.mlp,rot_lm,ffn_rot_lm_w4a4,,0.03996529057621956,block_hadamard_last_dim,hadamard,0,ffn,13.983169555664062,4,non-uniform codebook,block_rms
