a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9443375468254089,model.layers.0.self_attn.v_proj,rot_lm,rot_lm_w4a3,,0.11551853269338608,block_hadamard_last_dim,hadamard,0,linear,9.373482704162598,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9125994443893433,model.layers.0.self_attn.v_proj,rot_lm,rot_lm_w3a3,,0.18386690318584442,block_hadamard_last_dim,hadamard,0,linear,7.354964256286621,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W2A4,128,non-uniform codebook fake quant; not native INT GEMM,0.8396734595298767,model.layers.0.self_attn.v_proj,rot_lm,rot_lm_w2a4,,0.3404334783554077,block_hadamard_last_dim,hadamard,0,linear,4.6796770095825195,2,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.99289470911026,model.layers.0.self_attn.o_proj,direct_absmax,direct_absmax_w4a4,,0.014402488246560097,none,none,,linear,18.415624618530273,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9963772296905518,model.layers.0.self_attn.o_proj,rot_absmax,rot_absmax_w4a4,,0.007351977750658989,block_hadamard_last_dim,hadamard,0,linear,21.335956573486328,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9974135756492615,model.layers.0.self_attn.o_proj,rot_lm,rot_lm_w4a4,,0.005324279423803091,block_hadamard_last_dim,hadamard,0,linear,22.737390518188477,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9938452839851379,model.layers.0.self_attn.o_proj,rot_lm,rot_lm_w3a4,,0.012862823903560638,block_hadamard_last_dim,hadamard,0,linear,18.906635284423828,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.993830144405365,model.layers.0.self_attn.o_proj,rot_lm,rot_lm_w4a3,,0.014006823301315308,block_hadamard_last_dim,hadamard,0,linear,18.536603927612305,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9902110695838928,model.layers.0.self_attn.o_proj,rot_lm,rot_lm_w3a3,,0.022240715101361275,block_hadamard_last_dim,hadamard,0,linear,16.528512954711914,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W2A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9809289574623108,model.layers.0.self_attn.o_proj,rot_lm,rot_lm_w2a4,,0.04494212940335274,block_hadamard_last_dim,hadamard,0,linear,13.47346305847168,2,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9906864762306213,model.layers.0.mlp.gate_proj,direct_absmax,direct_absmax_w4a4,,0.019036753103137016,none,none,,linear,17.204071044921875,4,uniform integer-like,last_dim_block_absmax
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9933330416679382,model.layers.0.mlp.gate_proj,rot_absmax,rot_absmax_w4a4,,0.013616298325359821,block_hadamard_last_dim,hadamard,0,linear,18.659408569335938,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9954134225845337,model.layers.0.mlp.gate_proj,rot_lm,rot_lm_w4a4,,0.009345241822302341,block_hadamard_last_dim,hadamard,0,linear,20.29409408569336,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.989087700843811,model.layers.0.mlp.gate_proj,rot_lm,rot_lm_w3a4,,0.022181089967489243,block_hadamard_last_dim,hadamard,0,linear,16.540170669555664,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9891221523284912,model.layers.0.mlp.gate_proj,rot_lm,rot_lm_w4a3,,0.02208598516881466,block_hadamard_last_dim,hadamard,0,linear,16.5588321685791,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9828003644943237,model.layers.0.mlp.gate_proj,rot_lm,rot_lm_w3a3,,0.0350445955991745,block_hadamard_last_dim,hadamard,0,linear,14.553789138793945,3,non-uniform codebook,block_rms
