method_key,linear_bits,kv_bits,value_path,projection_relative_mse,score_relative_mse,softmax_kl,topk_overlap,pre_o_output_relative_mse,pre_o_output_cosine,layer_output_relative_mse,layer_output_cosine
attn_identity_fp16,FP16,K16V16,reconstruct,5.4129712860155145e-08,6.96955169132707e-08,1.6173597572333165e-08,1.0,1.0411869766357995e-07,0.9999998807907104,7.027966830719379e-08,0.9999998807907104
attn_kv_only_hlm_k4v4_oabsorb,FP16,K4V4,o_proj_absorb,5.4129712860155145e-08,0.007055109366774559,0.002512865699827671,1.0,0.01546025462448597,0.992266833782196,0.0038295190315693617,0.9981329441070557
attn_kv_only_hlm_k4v4_reconstruct,FP16,K4V4,reconstruct,5.4129712860155145e-08,0.007055109366774559,0.002512865699827671,1.0,0.01546025462448597,0.992266833782196,0.0038293786346912384,0.9981329441070557
attn_rot_lm_w4a4_hlm_k4v4_oabsorb,W4A4,K4V4,o_proj_absorb,0.05835084419231862,0.010309225879609585,0.005061147268861532,1.0,0.20750746130943298,0.9030317068099976,0.03754042834043503,0.9823610186576843
fp16,FP16,K16V16,reference,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
