method_key,method,bits,kv_block_size,ip_bias,ip_variance,score_relative_mse,softmax_kl,topk_overlap,value_relative_mse,output_cosine
fp16,fp16,K16V16,,0.0,0.0,0.0,0.0,1.0,0.0,1.0000303333455867
hadamard_lm_k3v4,hadamard_lm,K3V4,64.0,0.6307140981609171,16.77425305409865,0.013197981583123857,0.03528733564202081,0.8567826720801267,0.00911227630620653,0.9589237570762634
hadamard_lm_k3v4_h32,hadamard_lm,K3V4,32.0,0.7541536993601106,16.13237764076753,0.012964142571118746,0.0339442183771594,0.8605490895834836,0.009148783685470169,0.95927478779446
hadamard_lm_k4v4,hadamard_lm,K4V4,64.0,0.17286548780446703,4.632287587631833,0.003546291300815276,0.009510336644862864,0.9189275611530651,0.00911227630620653,0.9867859401486136
hadamard_lm_k4v4_h32,hadamard_lm,K4V4,32.0,0.1921468204818666,4.375812544064089,0.0034054235703396525,0.009047033275816251,0.9214344403960488,0.009148783685470169,0.9868004809726368
