layer_index,method_key,bits,ip_bias,ip_variance,score_relative_mse,softmax_kl,topk_overlap,value_relative_mse,output_cosine
0,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000487565994263
0,hadamard_lm_k3v4,K3V4,-0.03679591417312622,1.6258642673492432,0.0238613560795784,0.010145959444344044,0.887402355670929,0.008357872255146503,0.9836889505386353
0,hadamard_lm_k3v4_h32,K3V4,-0.07472370564937592,1.8272074460983276,0.02687585912644863,0.010365171357989311,0.8898681402206421,0.008756591938436031,0.9842213988304138
0,hadamard_lm_k4v4,K4V4,-0.020861294120550156,0.40584537386894226,0.005957655608654022,0.0026450923178344965,0.939453125,0.008357872255146503,0.9939725995063782
0,hadamard_lm_k4v4_h32,K4V4,0.004423090256750584,0.5052946209907532,0.007409875281155109,0.003149815835058689,0.9356933832168579,0.008756591938436031,0.9932196140289307
1,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000150203704834
1,hadamard_lm_k3v4,K3V4,0.37658023834228516,8.334531784057617,0.013447185046970844,0.0353739969432354,0.8734130859375,0.008697262965142727,0.9683436751365662
1,hadamard_lm_k3v4_h32,K3V4,0.40780317783355713,8.724249839782715,0.014104302041232586,0.03813439607620239,0.8720703125,0.008979841135442257,0.9675037860870361
1,hadamard_lm_k4v4,K4V4,0.0901712030172348,2.3191847801208496,0.0036921396385878325,0.010662756860256195,0.9266601800918579,0.008697262965142727,0.986350417137146
1,hadamard_lm_k4v4_h32,K4V4,0.11810280382633209,2.2619056701660156,0.0036104985047131777,0.011632498353719711,0.9239501953125,0.008979841135442257,0.9874293804168701
2,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000191926956177
2,hadamard_lm_k3v4,K3V4,0.3113171458244324,6.476625919342041,0.024292102083563805,0.028968365862965584,0.889599621295929,0.009321643970906734,0.9698967337608337
2,hadamard_lm_k3v4_h32,K3V4,0.27867141366004944,6.065344333648682,0.022701062262058258,0.024865606799721718,0.9002441167831421,0.008965582586824894,0.9718372821807861
2,hadamard_lm_k4v4,K4V4,0.12768930196762085,1.758817195892334,0.0065598455257713795,0.007865681312978268,0.93701171875,0.009321643970906734,0.9878474473953247
2,hadamard_lm_k4v4_h32,K4V4,0.0657312422990799,1.5433599948883057,0.005719352047890425,0.0066520776599645615,0.9434570074081421,0.008965582586824894,0.9892210960388184
3,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.000016212463379
3,hadamard_lm_k3v4,K3V4,1.093826174736023,11.568876266479492,0.00737726641818881,0.01608235202729702,0.837695300579071,0.008882631547749043,0.9433658719062805
3,hadamard_lm_k3v4_h32,K3V4,1.3753632307052612,12.489619255065918,0.008311125449836254,0.022681824862957,0.842211902141571,0.00910326186567545,0.9253190159797668
3,hadamard_lm_k4v4,K4V4,0.28182485699653625,3.4440648555755615,0.002036274876445532,0.004050524439662695,0.9117676019668579,0.008882631547749043,0.9832004308700562
3,hadamard_lm_k4v4_h32,K4V4,0.3193816542625427,3.214674949645996,0.0019167565042153,0.0037275643553584814,0.9107666015625,0.00910326186567545,0.9835621118545532
4,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000324249267578
4,hadamard_lm_k3v4,K3V4,0.7919647097587585,16.002197265625,0.007632104679942131,0.012665677815675735,0.846606433391571,0.009233917109668255,0.9524675607681274
4,hadamard_lm_k3v4_h32,K3V4,1.134851098060608,14.97431755065918,0.007463577203452587,0.012464816682040691,0.84716796875,0.009496723301708698,0.955767035484314
4,hadamard_lm_k4v4,K4V4,0.19771185517311096,4.33336877822876,0.002006750088185072,0.00365458894520998,0.913012683391571,0.009233917109668255,0.9845169186592102
4,hadamard_lm_k4v4_h32,K4V4,0.29181891679763794,4.06952428817749,0.0019068014807999134,0.0031888228841125965,0.919238269329071,0.009496723301708698,0.9841466546058655
5,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000399351119995
5,hadamard_lm_k3v4,K3V4,0.8016536235809326,16.461748123168945,0.008897621184587479,0.01763674058020115,0.8395019769668579,0.009401187300682068,0.9356927275657654
5,hadamard_lm_k3v4_h32,K3V4,0.9863039255142212,13.864720344543457,0.007718401029706001,0.014576073735952377,0.851147472858429,0.009513918310403824,0.9411794543266296
5,hadamard_lm_k4v4,K4V4,0.11683065444231033,4.378475189208984,0.002284761518239975,0.005123017355799675,0.9071289300918579,0.009401187300682068,0.9793687462806702
5,hadamard_lm_k4v4_h32,K4V4,0.25070396065711975,4.541107654571533,0.0023949570022523403,0.004364680498838425,0.9101806879043579,0.009513918310403824,0.9826211333274841
6,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000263452529907
6,hadamard_lm_k3v4,K3V4,0.7294667363166809,20.347597122192383,0.009402087889611721,0.028908349573612213,0.8356689214706421,0.009110275655984879,0.9338535070419312
