bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_block_size,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,rotation_backend,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
K4V4,rotated non-uniform KV fake quant,0.28182485699653625,0.002036274876445532,3.4440648555755615,4,0.008826357312500477,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.3.self_attn,3,hadamard_lm,hadamard_lm_k4v4,0.9832004308700562,0.035418801009655,hadamard,0.05505453050136566,0.002036274876445532,0.004050524439662695,0.9117676019668579,4,0.008882631547749043,per_token_head_rms
K4V4,head-internal H32 non-uniform KV fake quant,0.3193816542625427,0.0019167565042153,3.214674949645996,4,0.009188754484057426,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.3.self_attn,3,hadamard_lm,hadamard_lm_k4v4_h32,0.9835621118545532,0.03403295576572418,hadamard,0.051823124289512634,0.0019167565042153,0.0037275643553584814,0.9107666015625,4,0.00910326186567545,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,1.093826174736023,0.00737726641818881,11.568876266479492,3,0.032267771661281586,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.3.self_attn,3,hadamard_lm,hadamard_lm_k3v4,0.9433658719062805,0.12592099606990814,hadamard,0.1994583010673523,0.00737726641818881,0.01608235202729702,0.837695300579071,4,0.008882631547749043,per_token_head_rms
K3V4,head-internal H32 key bit reduction,1.3753632307052612,0.008311125449836254,12.489619255065918,3,0.034392766654491425,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.3.self_attn,3,hadamard_lm,hadamard_lm_k3v4_h32,0.9253190159797668,0.23249182105064392,hadamard,0.22470693290233612,0.008311125449836254,0.022681824862957,0.842211902141571,4,0.00910326186567545,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,,none,none,model.layers.4.self_attn,4,fp16,fp16,1.0000324249267578,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,rotated non-uniform KV fake quant,0.19771185517311096,0.002006750088185072,4.33336877822876,4,0.008769326843321323,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm,hadamard_lm_k4v4,0.9845169186592102,0.030983610078692436,hadamard,0.0683196634054184,0.002006750088185072,0.00365458894520998,0.913012683391571,4,0.009233917109668255,per_token_head_rms
K4V4,head-internal H32 non-uniform KV fake quant,0.29181891679763794,0.0019068014807999134,4.06952428817749,4,0.008837194181978703,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.4.self_attn,4,hadamard_lm,hadamard_lm_k4v4_h32,0.9841466546058655,0.034604333341121674,hadamard,0.06491692364215851,0.0019068014807999134,0.0031888228841125965,0.919238269329071,4,0.009496723301708698,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.7919647097587585,0.007632104679942131,16.002197265625,3,0.03126704320311546,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.4.self_attn,4,hadamard_lm,hadamard_lm_k3v4,0.9524675607681274,0.10897412151098251,hadamard,0.2598344683647156,0.007632104679942131,0.012665677815675735,0.846606433391571,4,0.009233917109668255,per_token_head_rms
K3V4,head-internal H32 key bit reduction,1.134851098060608,0.007463577203452587,14.97431755065918,3,0.03229232877492905,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.4.self_attn,4,hadamard_lm,hadamard_lm_k3v4_h32,0.955767035484314,0.10090027749538422,hadamard,0.25409695506095886,0.007463577203452587,0.012464816682040691,0.84716796875,4,0.009496723301708698,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,,none,none,model.layers.5.self_attn,5,fp16,fp16,1.0000399351119995,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,rotated non-uniform KV fake quant,0.11683065444231033,0.002284761518239975,4.378475189208984,4,0.008556400425732136,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm,hadamard_lm_k4v4,0.9793687462806702,0.04676983878016472,hadamard,0.06862695515155792,0.002284761518239975,0.005123017355799675,0.9071289300918579,4,0.009401187300682068,per_token_head_rms
K4V4,head-internal H32 non-uniform KV fake quant,0.25070396065711975,0.0023949570022523403,4.541107654571533,4,0.00878468994051218,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.5.self_attn,5,hadamard_lm,hadamard_lm_k4v4_h32,0.9826211333274841,0.036790184676647186,hadamard,0.07193687558174133,0.0023949570022523403,0.004364680498838425,0.9101806879043579,4,0.009513918310403824,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.8016536235809326,0.008897621184587479,16.461748123168945,3,0.031104257330298424,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.5.self_attn,5,hadamard_lm,hadamard_lm_k3v4,0.9356927275657654,0.1388513296842575,hadamard,0.2672562003135681,0.008897621184587479,0.01763674058020115,0.8395019769668579,4,0.009401187300682068,per_token_head_rms
K3V4,head-internal H32 key bit reduction,0.9863039255142212,0.007718401029706001,13.864720344543457,3,0.03193032741546631,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.5.self_attn,5,hadamard_lm,hadamard_lm_k3v4_h32,0.9411794543266296,0.14854389429092407,hadamard,0.23183616995811462,0.007718401029706001,0.014576073735952377,0.851147472858429,4,0.009513918310403824,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,,none,none,model.layers.6.self_attn,6,fp16,fp16,1.0000263452529907,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,rotated non-uniform KV fake quant,0.29694879055023193,0.002649512607604265,5.795735836029053,4,0.008816699497401714,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.6.self_attn,6,hadamard_lm,hadamard_lm_k4v4,0.979478657245636,0.04226871207356453,hadamard,0.0919361561536789,0.002649512607604265,0.008321691304445267,0.9048095941543579,4,0.009110275655984879,per_token_head_rms
K4V4,head-internal H32 non-uniform KV fake quant,0.3108632564544678,0.0027254789602011442,5.955981254577637,4,0.008916889317333698,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.6.self_attn,6,hadamard_lm,hadamard_lm_k4v4_h32,0.9776269793510437,0.04701348394155502,hadamard,0.09457213431596756,0.0027254789602011442,0.008328471332788467,0.9062744379043579,4,0.009224948473274708,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,0.7294667363166809,0.009402087889611721,20.347597122192383,3,0.031270261853933334,per_token_head_h64_rms,64,gaussian_lloyd_max,headwise_hadamard,model.layers.6.self_attn,6,hadamard_lm,hadamard_lm_k3v4,0.9338535070419312,0.14756830036640167,hadamard,0.32624560594558716,0.009402087889611721,0.028908349573612213,0.8356689214706421,4,0.009110275655984879,per_token_head_rms
K3V4,head-internal H32 key bit reduction,1.132791519165039,0.010278983041644096,21.543869018554688,3,0.032574232667684555,per_token_head_h32_rms,32,gaussian_lloyd_max,headwise_hadamard_h32,model.layers.6.self_attn,6,hadamard_lm,hadamard_lm_k3v4_h32,0.9211729764938354,0.18429423868656158,hadamard,0.3566732406616211,0.010278983041644096,0.03204368054866791,0.8348144292831421,4,0.009224948473274708,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,,none,none,model.layers.7.self_attn,7,fp16,fp16,1.0000208616256714,0.0,,0.0,0.0,0.0,1.0,16,0.0,none
