a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,64,MXFP4 E2M1 fake quant with 32-value group scales,0.9929154515266418,model.layers.0.self_attn.q_proj,mxfp4,mxfp4_w4a4,32,0.014167378656566143,none,none,,linear,18.487106323242188,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,64,Hadamard rotation + MXFP4 E2M1 fake quant,0.9983837008476257,model.layers.0.self_attn.q_proj,rot_mxfp4,rot_mxfp4_w4a4,32,0.003406322794035077,block_hadamard_last_dim,hadamard,11,linear,24.677143096923828,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,64,non-uniform codebook fake quant; not native INT GEMM,0.9995874762535095,model.layers.0.self_attn.q_proj,rot_lm,rot_lm_w4a4,,0.0018815359799191356,block_hadamard_last_dim,hadamard,11,linear,27.25487518310547,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,64,non-uniform codebook fake quant; not native INT GEMM,0.9992440342903137,model.layers.0.self_attn.q_proj,rot_lm,rot_lm_w3a4,,0.003199319588020444,block_hadamard_last_dim,hadamard,11,linear,24.949424743652344,3,non-uniform codebook,block_rms
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,64,MXFP4 E2M1 fake quant with 32-value group scales,0.9929110407829285,model.layers.0.self_attn.k_proj,mxfp4,mxfp4_w4a4,32,0.015305165201425552,none,none,,linear,18.15161895751953,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,64,Hadamard rotation + MXFP4 E2M1 fake quant,0.998494565486908,model.layers.0.self_attn.k_proj,rot_mxfp4,rot_mxfp4_w4a4,32,0.00329736084677279,block_hadamard_last_dim,hadamard,11,linear,24.818334579467773,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,64,non-uniform codebook fake quant; not native INT GEMM,0.99968022108078,model.layers.0.self_attn.k_proj,rot_lm,rot_lm_w4a4,,0.0020474272314459085,block_hadamard_last_dim,hadamard,11,linear,26.887914657592773,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,64,non-uniform codebook fake quant; not native INT GEMM,0.9992272853851318,model.layers.0.self_attn.k_proj,rot_lm,rot_lm_w3a4,,0.0045985812321305275,block_hadamard_last_dim,hadamard,11,linear,23.373760223388672,3,non-uniform codebook,block_rms
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,64,MXFP4 E2M1 fake quant with 32-value group scales,0.9622097611427307,model.layers.0.self_attn.v_proj,mxfp4,mxfp4_w4a4,32,0.07416138797998428,none,none,,linear,11.298221588134766,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,64,Hadamard rotation + MXFP4 E2M1 fake quant,0.9003432989120483,model.layers.0.self_attn.v_proj,rot_mxfp4,rot_mxfp4_w4a4,32,0.22550475597381592,block_hadamard_last_dim,hadamard,11,linear,6.468443393707275,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,64,non-uniform codebook fake quant; not native INT GEMM,0.9334833025932312,model.layers.0.self_attn.v_proj,rot_lm,rot_lm_w4a4,,0.13909532129764557,block_hadamard_last_dim,hadamard,11,linear,8.566874504089355,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,64,non-uniform codebook fake quant; not native INT GEMM,0.8375483155250549,model.layers.0.self_attn.v_proj,rot_lm,rot_lm_w3a4,,0.39965471625328064,block_hadamard_last_dim,hadamard,11,linear,3.9831504821777344,3,non-uniform codebook,block_rms
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,64,MXFP4 E2M1 fake quant with 32-value group scales,0.9974169731140137,model.layers.0.self_attn.o_proj,mxfp4,mxfp4_w4a4,32,0.005656827241182327,none,none,,linear,22.47426986694336,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,64,Hadamard rotation + MXFP4 E2M1 fake quant,0.9989104866981506,model.layers.0.self_attn.o_proj,rot_mxfp4,rot_mxfp4_w4a4,32,0.0026572218630462885,block_hadamard_last_dim,hadamard,11,linear,25.755722045898438,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,64,non-uniform codebook fake quant; not native INT GEMM,0.9993324279785156,model.layers.0.self_attn.o_proj,rot_lm,rot_lm_w4a4,,0.001496134209446609,block_hadamard_last_dim,hadamard,11,linear,28.250293731689453,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,64,non-uniform codebook fake quant; not native INT GEMM,0.9984474182128906,model.layers.0.self_attn.o_proj,rot_lm,rot_lm_w3a4,,0.0036267272662371397,block_hadamard_last_dim,hadamard,11,linear,24.404850006103516,3,non-uniform codebook,block_rms
