bits,block_size,codebook,cosine,element_format,int_gemm_friendly,layer,levels,method,mxfp4_group_size,quantizer_type,relative_mse,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,sqnr_db,weight_finite_ratio,weight_inf_count,weight_kurtosis,weight_max_mean_ratio,weight_mean,weight_nan_count,weight_numel,weight_outlier_ratio_3sigma,weight_std
4,32,,0.991227924823761,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.self_attn.q_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.021009273827075958,none,none,,131072,E8M0_like_power2,group_power2,16.775890350341797,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
4,32,,0.9947295784950256,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.self_attn.q_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.01230594515800476,polar_hadamard_blockwise,hadamard,11,131072,E8M0_like_power2,group_power2,19.09885025024414,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
4,32,gaussian_lloyd_max_standard_normal,0.9966205358505249,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.q_proj,16,hadamard_lm,,non-uniform codebook,0.008567342534661293,polar_hadamard_blockwise,hadamard,11,,,,20.671539306640625,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
3,32,gaussian_lloyd_max_standard_normal,0.9853639006614685,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.q_proj,8,hadamard_lm,,non-uniform codebook,0.030911359935998917,polar_hadamard_blockwise,hadamard,11,,,,15.0988187789917,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
4,32,,0.988242506980896,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.self_attn.k_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.023545317351818085,none,none,,16384,E8M0_like_power2,group_power2,16.280954360961914,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
4,32,,0.9940638542175293,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.self_attn.k_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.011956464499235153,polar_hadamard_blockwise,hadamard,11,16384,E8M0_like_power2,group_power2,19.22397232055664,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
4,32,gaussian_lloyd_max_standard_normal,0.9958524107933044,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.k_proj,16,hadamard_lm,,non-uniform codebook,0.00841802079230547,polar_hadamard_blockwise,hadamard,11,,,,20.747900009155273,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
3,32,gaussian_lloyd_max_standard_normal,0.98476642370224,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.k_proj,8,hadamard_lm,,non-uniform codebook,0.030557256191968918,polar_hadamard_blockwise,hadamard,11,,,,15.148857116699219,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
4,32,,0.9927647709846497,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.self_attn.v_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.014437307603657246,none,none,,16384,E8M0_like_power2,group_power2,18.40513801574707,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
4,32,,0.9935365319252014,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.self_attn.v_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.01290481723845005,polar_hadamard_blockwise,hadamard,11,16384,E8M0_like_power2,group_power2,18.892480850219727,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
