a_bits,block_size,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,k_proj_relative_mse,key_relative_mse,kv_bits,kv_block_size,kv_method,kv_rotation_backend,layer,layer_index,layer_output_cosine,layer_output_relative_mse,linear_bits,linear_method,linear_rotation_backend,method,method_key,mxfp4_group_size,o_proj_domain_block_size,output_cosine,output_relative_mse,pre_o_output_cosine,pre_o_output_relative_mse,projection_cosine,projection_relative_mse,q_proj_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,v_proj_relative_mse,value_path,value_relative_mse,w_bits
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.2.self_attn,2,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,128,MXFP4 W4A4 linear fake quant plus HLM K4V4,0.4039478600025177,0.018731199204921722,4.905566692352295,4,0.0077926162630319595,0.017205484211444855,K4V4,64,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.9409933090209961,0.11475428938865662,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.8688568472862244,0.2667262852191925,0.8688550591468811,0.2667250633239746,0.9785792827606201,0.04265542017916838,0.00990249589085579,0.07919907569885254,0.018731199204921722,0.021541226655244827,0.902514636516571,4,0.1102711483836174,o_proj_absorb,0.11827714741230011,4
4,128,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,0.4640558958053589,0.011224818415939808,2.8221352100372314,4,0.0018869963241741061,0.01111655868589878,K4V4,64,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.9201703071594238,0.1576176881790161,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.7609596848487854,0.6765116453170776,0.7609573602676392,0.6765140891075134,0.9758039514223734,0.05233760236296803,0.004572792910039425,0.04746067151427269,0.011224818415939808,0.012329444289207458,0.925341784954071,4,0.15055301785469055,o_proj_absorb,0.15871109068393707,4
4,128,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,0.29437947273254395,0.009877882897853851,2.5863373279571533,4,0.0013033893192186952,0.010557049885392189,K4V4,64,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.9383899569511414,0.12176217883825302,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.7816293239593506,0.564850389957428,0.7816268801689148,0.5648524761199951,0.9817306399345398,0.03831980187290659,0.003087820718064904,0.041765570640563965,0.009877882897853851,0.010948712937533855,0.932055652141571,4,0.11056819558143616,o_proj_absorb,0.11941643059253693,4
4,128,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,0.8945591449737549,0.03399759903550148,8.399657249450684,3,0.003911172039806843,0.03782270476222038,K3V4,64,hadamard_lm,hadamard,model.layers.2.self_attn,2,0.8046771287918091,0.3817242681980133,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.5488412976264954,1.6882236003875732,0.5488404631614685,1.688226342201233,0.9592059850692749,0.0913283343737324,0.007843583822250366,0.14374832808971405,0.03399759903550148,0.035617645829916,0.8787841796875,4,0.26223024725914,o_proj_absorb,0.2699921131134033,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.3.self_attn,3,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,128,MXFP4 W4A4 linear fake quant plus HLM K4V4,2.0742759704589844,0.00721535412594676,8.18254280090332,4,0.006044476293027401,0.014755775220692158,K4V4,64,hadamard_lm,hadamard,model.layers.3.self_attn,3,0.947778046131134,0.1141161322593689,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.9335323572158813,0.1557672917842865,0.9335309267044067,0.15576575696468353,0.9901997645696005,0.019814895155529182,0.006139678880572319,0.1950806975364685,0.00721535412594676,0.012335273437201977,0.877148449420929,4,0.047260530292987823,o_proj_absorb,0.055509909987449646,4
4,128,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,1.7068605422973633,0.004539939574897289,4.942359924316406,4,0.0024198153987526894,0.011196176521480083,K4V4,64,hadamard_lm,hadamard,model.layers.3.self_attn,3,0.9509869813919067,0.10529138892889023,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.9282572865486145,0.1629604697227478,0.9282554388046265,0.16296009719371796,0.9930362105369568,0.014063348527997732,0.0031307372264564037,0.1227458268404007,0.004539939574897289,0.008602188900113106,0.894482433795929,4,0.0366394929587841,o_proj_absorb,0.04559721797704697,4
4,128,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,1.267602562904358,0.0034187703859061003,4.308889865875244,4,0.0015870011411607265,0.010357844643294811,K4V4,64,hadamard_lm,hadamard,model.layers.3.self_attn,3,0.9650435447692871,0.0810236781835556,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.9503768086433411,0.1162654384970665,0.9503750801086426,0.11626426130533218,0.9953771233558655,0.009315880558763942,0.0020272156689316034,0.092432901263237,0.0034187703859061003,0.006985933054238558,0.896044909954071,4,0.024333424866199493,o_proj_absorb,0.03293569013476372,4
4,128,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,3.4262514114379883,0.014881448820233345,14.011072158813477,3,0.0039830817840993404,0.03581725060939789,K3V4,64,hadamard_lm,hadamard,model.layers.3.self_attn,3,0.8940089344978333,0.2524663209915161,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.8555326461791992,0.41151583194732666,0.8555310964584351,0.4115142524242401,0.989006777604421,0.022355598552773397,0.0054026152938604355,0.40234801173210144,0.014881448820233345,0.028777092695236206,0.8213866949081421,4,0.05768109858036041,o_proj_absorb,0.06626901030540466,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.4.self_attn,4,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,128,MXFP4 W4A4 linear fake quant plus HLM K4V4,2.3013968467712402,0.007191197946667671,10.372298240661621,4,0.006746171973645687,0.015391341410577297,K4V4,64,hadamard_lm,hadamard,model.layers.4.self_attn,4,0.9447730779647827,0.13120026886463165,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.942733645439148,0.14454568922519684,0.9427312016487122,0.14454667270183563,0.9905817707379659,0.019044033251702785,0.007188012823462486,0.24482382833957672,0.007191197946667671,0.011921504512429237,0.881591796875,4,0.04319791495800018,o_proj_absorb,0.05226319655776024,4
4,128,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,1.6795432567596436,0.004375004675239325,6.711725234985352,4,0.0036113285459578037,0.012274128384888172,K4V4,64,hadamard_lm,hadamard,model.layers.4.self_attn,4,0.9474166631698608,0.1142626628279686,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.9398064017295837,0.1369463950395584,0.9398032426834106,0.13694795966148376,0.9930431048075358,0.01403208232174317,0.004336121026426554,0.14894673228263855,0.004375004675239325,0.00805679615586996,0.8944091796875,4,0.034148797392845154,o_proj_absorb,0.04271871596574783,4
4,128,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,1.0978032350540161,0.00343314534984529,6.275223731994629,4,0.00248476630076766,0.011205784045159817,K4V4,64,hadamard_lm,hadamard,model.layers.4.self_attn,4,0.95900958776474,0.08120973408222198,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.9512103796005249,0.09998559206724167,0.9512074589729309,0.09998606145381927,0.995344897111257,0.009377166318396727,0.002890035044401884,0.11688119173049927,0.00343314534984529,0.0050383685156702995,0.900805652141571,4,0.022756697610020638,o_proj_absorb,0.0317809171974659,4
4,128,rotated LM W3A4 plus HLM K3V4 with value rotation absorbed into o_proj,3.2068910598754883,0.013003558851778507,18.048988342285156,3,0.006722611840814352,0.036923475563526154,K3V4,64,hadamard_lm,hadamard,model.layers.4.self_attn,4,0.8896063566207886,0.23692584037780762,W3A4,rot_lm,hadamard,attn_rot_lm_w3a4_hlm_k3v4,attn_rot_lm_w3a4_hlm_k3v4,32,64,0.8821349740028381,0.28411585092544556,0.8821329474449158,0.2841165363788605,0.9887709816296896,0.02284606033936143,0.007381262257695198,0.4427052438259125,0.013003558851778507,0.022510787472128868,0.837451159954071,4,0.05443430691957474,o_proj_absorb,0.06291871517896652,3
16,,baseline,0.0,0.0,0.0,16,0.0,0.0,K16V16,,fp16,,model.layers.5.self_attn,5,1.0,0.0,FP16,fp16,,fp16,fp16,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,reference,0.0,16
4,128,MXFP4 W4A4 linear fake quant plus HLM K4V4,1.8945473432540894,0.006827022414654493,9.534658432006836,4,0.005584601312875748,0.014014022424817085,K4V4,64,hadamard_lm,hadamard,model.layers.5.self_attn,5,0.934157133102417,0.16747888922691345,W4A4,mxfp4,none,attn_mxfp4_w4a4_hlm_k4v4,attn_mxfp4_w4a4_hlm_k4v4,32,64,0.9315580129623413,0.1893399953842163,0.9315544366836548,0.18933825194835663,0.9908241828282675,0.018634264046947163,0.006071543321013451,0.20506200194358826,0.006827022414654493,0.015703342854976654,0.887451171875,4,0.044246647506952286,o_proj_absorb,0.05357949808239937,4
4,128,Hadamard-rotated MXFP4 W4A4 linear fake quant plus HLM K4V4,1.4273236989974976,0.0044526574201881886,6.522339344024658,4,0.003004368394613266,0.011381015181541443,K4V4,64,hadamard_lm,hadamard,model.layers.5.self_attn,5,0.937291145324707,0.12635576725006104,W4A4,rot_mxfp4,hadamard,attn_rot_mxfp4_w4a4_hlm_k4v4,attn_rot_mxfp4_w4a4_hlm_k4v4,32,64,0.9286064505577087,0.1582532376050949,0.9286025762557983,0.15825267136096954,0.9931169152259827,0.01391195443769296,0.0036927256733179092,0.13374364376068115,0.0044526574201881886,0.007852124981582165,0.8987060785293579,4,0.035038769245147705,o_proj_absorb,0.04415443167090416,4
4,128,rotated LM W4A4 plus HLM K4V4 with value rotation absorbed into o_proj,0.9682236909866333,0.003351818071678281,5.505930423736572,4,0.0018731201998889446,0.010354449041187763,K4V4,64,hadamard_lm,hadamard,model.layers.5.self_attn,5,0.9587382078170776,0.08430759608745575,W4A4,rot_lm,hadamard,attn_rot_lm_w4a4_hlm_k4v4,attn_rot_lm_w4a4_hlm_k4v4,32,64,0.9473952651023865,0.11602970212697983,0.9473916888237,0.11602859199047089,0.995545506477356,0.008931280967469016,0.0023688434157520533,0.10067793726921082,0.003351818071678281,0.006448269356042147,0.9002685546875,4,0.022551879286766052,o_proj_absorb,0.031714241951704025,4
