layer_index,method_key,projection_relative_mse,score_relative_mse,softmax_kl,topk_overlap,pre_o_output_relative_mse,pre_o_output_cosine,layer_output_relative_mse,layer_output_cosine
0,attn_mxfp4_w4a4_hlm_k4v4,0.03454464394599199,0.0314871184527874,0.0070249768905341625,0.8774169683456421,0.118767648935318,0.9391516447067261,0.021588681265711784,0.9916833639144897
0,attn_rot_lm_w3a4_hlm_k3v4,0.15899886097759008,0.027693936601281166,0.010196695104241371,0.8782958984375,1.1878550052642822,0.6633950471878052,0.09522930532693863,0.9552671313285828
0,attn_rot_lm_w4a4_hlm_k4v4,0.05857976068121692,0.0075341020710766315,0.0032636690884828568,0.9249267578125,0.331414133310318,0.8627692461013794,0.023274727165699005,0.9887329936027527
0,attn_rot_mxfp4_w4a4_hlm_k4v4,0.09251464057403307,0.010535014793276787,0.003952302969992161,0.9169677495956421,0.5047450661659241,0.7955649495124817,0.05390504375100136,0.9772270321846008
0,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
1,attn_mxfp4_w4a4_hlm_k4v4,0.04533167245487372,0.026822157204151154,0.035357534885406494,0.8854736089706421,0.2805846929550171,0.856927752494812,0.17264911532402039,0.9103655815124512
1,attn_rot_lm_w3a4_hlm_k3v4,0.18748718484615287,0.021709393709897995,0.04096345603466034,0.8647216558456421,3.42769193649292,0.4230588972568512,0.7851446866989136,0.6876220703125
1,attn_rot_lm_w4a4_hlm_k4v4,0.08415948417192946,0.006823914125561714,0.014444215223193169,0.915478527545929,1.2263226509094238,0.6531451940536499,0.3004189729690552,0.8648726940155029
1,attn_rot_mxfp4_w4a4_hlm_k4v4,0.11725686374120414,0.006886713672429323,0.014380357228219509,0.9132080078125,1.7512305974960327,0.5949387550354004,0.4058219790458679,0.823076605796814
1,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2,attn_mxfp4_w4a4_hlm_k4v4,0.04265542017916838,0.018731199204921722,0.021541226655244827,0.902514636516571,0.2667250633239746,0.8688550591468811,0.11475428938865662,0.9409933090209961
2,attn_rot_lm_w3a4_hlm_k3v4,0.0913283343737324,0.03399759903550148,0.035617645829916,0.8787841796875,1.688226342201233,0.5488404631614685,0.3817242681980133,0.8046771287918091
2,attn_rot_lm_w4a4_hlm_k4v4,0.03831980187290659,0.009877882897853851,0.010948712937533855,0.932055652141571,0.5648524761199951,0.7816268801689148,0.12176217883825302,0.9383899569511414
2,attn_rot_mxfp4_w4a4_hlm_k4v4,0.05233760236296803,0.011224818415939808,0.012329444289207458,0.925341784954071,0.6765140891075134,0.7609573602676392,0.1576176881790161,0.9201703071594238
2,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
3,attn_mxfp4_w4a4_hlm_k4v4,0.019814895155529182,0.00721535412594676,0.012335273437201977,0.877148449420929,0.15576575696468353,0.9335309267044067,0.1141161322593689,0.947778046131134
3,attn_rot_lm_w3a4_hlm_k3v4,0.022355598552773397,0.014881448820233345,0.028777092695236206,0.8213866949081421,0.4115142524242401,0.8555310964584351,0.2524663209915161,0.8940089344978333
3,attn_rot_lm_w4a4_hlm_k4v4,0.009315880558763942,0.0034187703859061003,0.006985933054238558,0.896044909954071,0.11626426130533218,0.9503750801086426,0.0810236781835556,0.9650435447692871
3,attn_rot_mxfp4_w4a4_hlm_k4v4,0.014063348527997732,0.004539939574897289,0.008602188900113106,0.894482433795929,0.16296009719371796,0.9282554388046265,0.10529138892889023,0.9509869813919067
3,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
4,attn_mxfp4_w4a4_hlm_k4v4,0.019044033251702785,0.007191197946667671,0.011921504512429237,0.881591796875,0.14454667270183563,0.9427312016487122,0.13120026886463165,0.9447730779647827
4,attn_rot_lm_w3a4_hlm_k3v4,0.02284606033936143,0.013003558851778507,0.022510787472128868,0.837451159954071,0.2841165363788605,0.8821329474449158,0.23692584037780762,0.8896063566207886
4,attn_rot_lm_w4a4_hlm_k4v4,0.009377166318396727,0.00343314534984529,0.0050383685156702995,0.900805652141571,0.09998606145381927,0.9512074589729309,0.08120973408222198,0.95900958776474
4,attn_rot_mxfp4_w4a4_hlm_k4v4,0.01403208232174317,0.004375004675239325,0.00805679615586996,0.8944091796875,0.13694795966148376,0.9398032426834106,0.1142626628279686,0.9474166631698608
4,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
5,attn_mxfp4_w4a4_hlm_k4v4,0.018634264046947163,0.006827022414654493,0.015703342854976654,0.887451171875,0.18933825194835663,0.9315544366836548,0.16747888922691345,0.934157133102417
5,attn_rot_lm_w3a4_hlm_k3v4,0.02189326984807849,0.015100701712071896,0.026888618245720863,0.8301025629043579,0.33936455845832825,0.8707199692726135,0.2646465301513672,0.885486364364624
5,attn_rot_lm_w4a4_hlm_k4v4,0.008931280967469016,0.003351818071678281,0.006448269356042147,0.9002685546875,0.11602859199047089,0.9473916888237,0.08430759608745575,0.9587382078170776
5,attn_rot_mxfp4_w4a4_hlm_k4v4,0.01391195443769296,0.0044526574201881886,0.007852124981582165,0.8987060785293579,0.15825267136096954,0.9286025762557983,0.12635576725006104,0.937291145324707
5,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
6,attn_mxfp4_w4a4_hlm_k4v4,0.02020727765435974,0.006914351135492325,0.02073477767407894,0.882153332233429,0.14876121282577515,0.9391506314277649,0.13839058578014374,0.9411690831184387
6,attn_rot_lm_w3a4_hlm_k3v4,0.02370757268120845,0.01603974960744381,0.03952382877469063,0.8278564214706421,0.31082355976104736,0.8687681555747986,0.2642395496368408,0.8777841925621033
6,attn_rot_lm_w4a4_hlm_k4v4,0.010367578555208942,0.004533109255135059,0.011810756288468838,0.9005126953125,0.10832149535417557,0.9521424174308777,0.09169789403676987,0.9567903280258179
6,attn_rot_mxfp4_w4a4_hlm_k4v4,0.014954682517175874,0.005362223368138075,0.014014006592333317,0.8916991949081421,0.13875794410705566,0.9386489987373352,0.12562055885791779,0.9427056312561035
6,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
7,attn_mxfp4_w4a4_hlm_k4v4,0.021885891755421955,0.01238262839615345,0.024344898760318756,0.857373058795929,0.10579320788383484,0.9535344839096069,0.13021788001060486,0.9420341849327087
7,attn_rot_lm_w3a4_hlm_k3v4,0.027340687811374664,0.02330349013209343,0.043088361620903015,0.801586925983429,0.254874587059021,0.8879829049110413,0.24591615796089172,0.8854218125343323
7,attn_rot_lm_w4a4_hlm_k4v4,0.011429680821796259,0.006203120108693838,0.011386232450604439,0.8818603754043579,0.0830565094947815,0.958550214767456,0.08200576156377792,0.9586309790611267
7,attn_rot_mxfp4_w4a4_hlm_k4v4,0.01634217573640247,0.007641343865543604,0.013670201413333416,0.881542980670929,0.10938750207424164,0.9496549367904663,0.11741644889116287,0.9437955617904663
7,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
8,attn_mxfp4_w4a4_hlm_k4v4,0.027629311196506023,0.006230050232261419,0.018940243870019913,0.890942394733429,0.15136966109275818,0.9297766089439392,0.1569090634584427,0.9221961498260498
8,attn_rot_lm_w3a4_hlm_k3v4,0.0337595601255695,0.01674673520028591,0.04636316001415253,0.844799816608429,0.33251655101776123,0.8825860619544983,0.31981170177459717,0.8623940944671631
8,attn_rot_lm_w4a4_hlm_k4v4,0.014705022176106771,0.003445871639996767,0.011701956391334534,0.9092041254043579,0.09549512714147568,0.957804262638092,0.09919634461402893,0.9529626369476318
8,attn_rot_mxfp4_w4a4_hlm_k4v4,0.0204564081504941,0.004337109625339508,0.014013757929205894,0.905712902545929,0.12071926891803741,0.9488063454627991,0.1310090273618698,0.9385057687759399
8,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
9,attn_mxfp4_w4a4_hlm_k4v4,0.020599661394953728,0.008078989572823048,0.021353015676140785,0.905444324016571,0.09044500440359116,0.9593514800071716,0.12120389193296432,0.9421844482421875
9,attn_rot_lm_w3a4_hlm_k3v4,0.024346818681806326,0.016523288562893867,0.043649911880493164,0.8573242425918579,0.18463647365570068,0.9172900319099426,0.22505486011505127,0.8901023864746094
9,attn_rot_lm_w4a4_hlm_k4v4,0.01011333412801226,0.0045874821953475475,0.013768642209470272,0.9159911870956421,0.067198745906353,0.9692909121513367,0.08782527595758438,0.9583021402359009
9,attn_rot_mxfp4_w4a4_hlm_k4v4,0.015075397677719593,0.005781988613307476,0.015809370204806328,0.9183349609375,0.08403034508228302,0.9623087048530579,0.1120746061205864,0.9473837018013
9,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
10,attn_mxfp4_w4a4_hlm_k4v4,0.01950364156315724,0.009029285982251167,0.023201068863272667,0.901416003704071,0.09564258903265,0.9540519118309021,0.11014344543218613,0.9449458718299866
10,attn_rot_lm_w3a4_hlm_k3v4,0.024482504309465487,0.020825905725359917,0.049793463200330734,0.863452136516571,0.24979974329471588,0.8957707285881042,0.24939288198947906,0.8818878531455994
10,attn_rot_lm_w4a4_hlm_k4v4,0.010065412924935421,0.005602349527180195,0.01414200384169817,0.918261706829071,0.07179376482963562,0.9652183055877686,0.07895527780056,0.9603093266487122
10,attn_rot_mxfp4_w4a4_hlm_k4v4,0.014599626030152043,0.006710412912070751,0.01732480525970459,0.9143310785293579,0.09273827075958252,0.953944206237793,0.10007209330797195,0.9490254521369934
10,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
