bits,block_size,codebook,cosine,element_format,int_gemm_friendly,layer,levels,method,mxfp4_group_size,quantizer_type,relative_mse,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,sqnr_db,weight_finite_ratio,weight_inf_count,weight_kurtosis,weight_max_mean_ratio,weight_mean,weight_nan_count,weight_numel,weight_outlier_ratio_3sigma,weight_std
4,64,,0.998936653137207,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.1.mlp.up_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.013769936747848988,none,none,,360448,E8M0_like_power2,group_power2,18.610681533813477,1.0,0,3.1593472957611084,18.956253051757812,-2.8560061764437705e-06,0,11534336,0.00313117285259068,0.017280058935284615
4,64,,0.9958533644676208,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.1.mlp.up_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013165688142180443,polar_hadamard_blockwise,hadamard,11,360448,E8M0_like_power2,group_power2,18.805564880371094,1.0,0,3.1593472957611084,18.956253051757812,-2.8560061764437705e-06,0,11534336,0.00313117285259068,0.017280058935284615
4,64,gaussian_lloyd_max_standard_normal,0.9978660941123962,,No; needs LUT/dequant or codebook-aware MAC,model.layers.1.mlp.up_proj,16,hadamard_lm,,non-uniform codebook,0.009183742105960846,polar_hadamard_blockwise,hadamard,11,,,,20.36980438232422,1.0,0,3.1593472957611084,18.956253051757812,-2.8560061764437705e-06,0,11534336,0.00313117285259068,0.017280058935284615
3,64,gaussian_lloyd_max_standard_normal,0.9856004118919373,,No; needs LUT/dequant or codebook-aware MAC,model.layers.1.mlp.up_proj,8,hadamard_lm,,non-uniform codebook,0.033447667956352234,polar_hadamard_blockwise,hadamard,11,,,,14.756341934204102,1.0,0,3.1593472957611084,18.956253051757812,-2.8560061764437705e-06,0,11534336,0.00313117285259068,0.017280058935284615
4,64,,0.9991322755813599,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.1.mlp.down_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.01382733229547739,none,none,,360448,E8M0_like_power2,group_power2,18.59261703491211,1.0,0,4.195178985595703,42.341304779052734,1.8209451582151814e-06,0,11534336,0.0033922195434570312,0.017108453437685966
4,64,,0.9958986043930054,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.1.mlp.down_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013142131268978119,polar_hadamard_blockwise,hadamard,11,360448,E8M0_like_power2,group_power2,18.81334114074707,1.0,0,4.195178985595703,42.341304779052734,1.8209451582151814e-06,0,11534336,0.0033922195434570312,0.017108453437685966
4,64,gaussian_lloyd_max_standard_normal,0.9979050755500793,,No; needs LUT/dequant or codebook-aware MAC,model.layers.1.mlp.down_proj,16,hadamard_lm,,non-uniform codebook,0.009158936329185963,polar_hadamard_blockwise,hadamard,11,,,,20.381547927856445,1.0,0,4.195178985595703,42.341304779052734,1.8209451582151814e-06,0,11534336,0.0033922195434570312,0.017108453437685966
3,64,gaussian_lloyd_max_standard_normal,0.9856630563735962,,No; needs LUT/dequant or codebook-aware MAC,model.layers.1.mlp.down_proj,8,hadamard_lm,,non-uniform codebook,0.03337189927697182,polar_hadamard_blockwise,hadamard,11,,,,14.766191482543945,1.0,0,4.195178985595703,42.341304779052734,1.8209451582151814e-06,0,11534336,0.0033922195434570312,0.017108453437685966
4,64,,0.993853747844696,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.2.self_attn.q_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.014129554852843285,none,none,,131072,E8M0_like_power2,group_power2,18.498714447021484,1.0,0,4.871168613433838,20.76357650756836,2.9707451176363975e-05,0,4194304,0.00926971435546875,0.03221216797828674
4,64,,0.9939700961112976,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.2.self_attn.q_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013142809271812439,polar_hadamard_blockwise,hadamard,11,131072,E8M0_like_power2,group_power2,18.81311798095703,1.0,0,4.871168613433838,20.76357650756836,2.9707451176363975e-05,0,4194304,0.00926971435546875,0.03221216797828674
4,64,gaussian_lloyd_max_standard_normal,0.9959689974784851,,No; needs LUT/dequant or codebook-aware MAC,model.layers.2.self_attn.q_proj,16,hadamard_lm,,non-uniform codebook,0.009158278815448284,polar_hadamard_blockwise,hadamard,11,,,,20.381860733032227,1.0,0,4.871168613433838,20.76357650756836,2.9707451176363975e-05,0,4194304,0.00926971435546875,0.03221216797828674
3,64,gaussian_lloyd_max_standard_normal,0.9837261438369751,,No; needs LUT/dequant or codebook-aware MAC,model.layers.2.self_attn.q_proj,8,hadamard_lm,,non-uniform codebook,0.033336885273456573,polar_hadamard_blockwise,hadamard,11,,,,14.770750045776367,1.0,0,4.871168613433838,20.76357650756836,2.9707451176363975e-05,0,4194304,0.00926971435546875,0.03221216797828674
4,64,,0.9924682378768921,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.2.self_attn.k_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.015074774622917175,none,none,,16384,E8M0_like_power2,group_power2,18.217491149902344,1.0,0,5.996884346008301,16.830820083618164,9.297170618083328e-05,0,524288,0.011598587036132812,0.054195597767829895
4,64,,0.9934003949165344,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.2.self_attn.k_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.01319128554314375,polar_hadamard_blockwise,hadamard,11,16384,E8M0_like_power2,group_power2,18.797128677368164,1.0,0,5.996884346008301,16.830820083618164,9.297170618083328e-05,0,524288,0.011598587036132812,0.054195597767829895
