layer_index,method_key,bits,ip_bias,ip_variance,score_relative_mse,softmax_kl,topk_overlap,value_relative_mse,output_cosine
0,absmax_k3v4,K3V4,-0.31603312492370605,6.708972930908203,0.09984426200389862,0.04694891721010208,0.721264660358429,0.03377990424633026,0.9363423585891724
0,absmax_k4v3,K4V3,-0.05456080660223961,1.7837244272232056,0.026200002059340477,0.010085389018058777,0.8564453125,0.10463521629571915,0.9683095812797546
0,absmax_k4v4,K4V4,-0.05456080660223961,1.7837244272232056,0.026200002059340477,0.010085389018058777,0.8564453125,0.03377990424633026,0.9849516749382019
0,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000512599945068
0,hadamard_lm_k2v4,K2V4,-0.1005273088812828,5.774840831756592,0.08482984453439713,0.03921893984079361,0.6978515386581421,0.008357872255146503,0.9587542414665222
0,hadamard_lm_k3v3,K3V3,-0.03679591417312622,1.6258642673492432,0.0238613560795784,0.013828047551214695,0.8160400390625,0.03034866787493229,0.977612316608429
0,hadamard_lm_k3v4,K3V4,-0.03679591417312622,1.6258642673492432,0.0238613560795784,0.013828047551214695,0.8160400390625,0.008357872255146503,0.9814376831054688
0,hadamard_lm_k4v3,K4V3,-0.020861294120550156,0.40584537386894226,0.005957655608654022,0.002657733391970396,0.9021240472793579,0.03034866787493229,0.9898593425750732
0,hadamard_lm_k4v4,K4V4,-0.020861294120550156,0.40584537386894226,0.005957655608654022,0.002657733391970396,0.9021240472793579,0.008357872255146503,0.9949222803115845
1,absmax_k3v4,K3V4,-1.165030598640442,14.604025840759277,0.02550395205616951,0.08566950261592865,0.7280517816543579,0.028501423075795174,0.9295079112052917
1,absmax_k4v3,K4V3,0.0019188392907381058,3.1718108654022217,0.005068114027380943,0.017616266384720802,0.8631591796875,0.11503229290246964,0.938277542591095
1,absmax_k4v4,K4V4,0.0019188392907381058,3.1718108654022217,0.005068114027380943,0.017616266384720802,0.8631591796875,0.028501423075795174,0.973589301109314
1,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000079870224
1,hadamard_lm_k2v4,K2V4,1.6925675868988037,30.06036949157715,0.052609775215387344,0.15184569358825684,0.6523193120956421,0.008711626753211021,0.8702309727668762
1,hadamard_lm_k3v3,K3V3,0.35604995489120483,8.409649848937988,0.01364000141620636,0.04553644359111786,0.7948974370956421,0.031618207693099976,0.9498951435089111
1,hadamard_lm_k3v4,K3V4,0.35604995489120483,8.409649848937988,0.01364000141620636,0.04553644359111786,0.7948974370956421,0.008711626753211021,0.959017276763916
1,hadamard_lm_k4v3,K4V3,0.12957754731178284,2.2859396934509277,0.003679439425468445,0.013118136674165726,0.8810790777206421,0.031618207693099976,0.975524365901947
1,hadamard_lm_k4v4,K4V4,0.12957754731178284,2.2859396934509277,0.003679439425468445,0.013118136674165726,0.8810790777206421,0.008711626753211021,0.9856017231941223
2,absmax_k3v4,K3V4,0.018835842609405518,12.45116138458252,0.04296537861227989,0.07620055973529816,0.7701660394668579,0.01598414219915867,0.9257588982582092
2,absmax_k4v3,K4V3,0.05263721942901611,2.29917311668396,0.00794311985373497,0.014375104568898678,0.890185534954071,0.08582795411348343,0.9464054107666016
2,absmax_k4v4,K4V4,0.05263721942901611,2.29917311668396,0.00794311985373497,0.014375104568898678,0.890185534954071,0.01598414219915867,0.9788241386413574
2,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.000016212463379
2,hadamard_lm_k2v4,K2V4,1.47189462184906,22.359542846679688,0.08462981134653091,0.11539281904697418,0.734423816204071,0.009183427318930626,0.8884657621383667
2,hadamard_lm_k3v3,K3V3,0.4943963885307312,7.001842021942139,0.025004079565405846,0.03449491411447525,0.8399658203125,0.032764583826065063,0.95302814245224
2,hadamard_lm_k3v4,K3V4,0.4943963885307312,7.001842021942139,0.025004079565405846,0.03449491411447525,0.8399658203125,0.009183427318930626,0.9624251127243042
2,hadamard_lm_k4v3,K4V3,0.1313173472881317,1.8639181852340698,0.006491165142506361,0.00923340767621994,0.911669909954071,0.032764583826065063,0.9760569930076599
2,hadamard_lm_k4v4,K4V4,0.1313173472881317,1.8639181852340698,0.006491165142506361,0.00923340767621994,0.911669909954071,0.009183427318930626,0.9869197607040405
3,absmax_k3v4,K3V4,0.5114865899085999,65.54183197021484,0.0344046875834465,0.3931214213371277,0.5179198980331421,0.014687660150229931,0.8086994290351868
3,absmax_k4v3,K4V3,-0.09491217136383057,11.018759727478027,0.005765759851783514,0.08014166355133057,0.7444092035293579,0.0810149759054184,0.9456010460853577
3,absmax_k4v4,K4V4,-0.09491217136383057,11.018759727478027,0.005765759851783514,0.08014166355133057,0.7444092035293579,0.014687660150229931,0.9627953171730042
3,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000132322311401
3,hadamard_lm_k2v4,K2V4,4.878676414489746,36.7463493347168,0.031656838953495026,0.25151312351226807,0.5458984375,0.009014054201543331,0.8971232175827026
3,hadamard_lm_k3v3,K3V3,1.0277941226959229,13.185388565063477,0.007446159143000841,0.09011958539485931,0.716259777545929,0.03238797187805176,0.9551830291748047
3,hadamard_lm_k3v4,K3V4,1.0277941226959229,13.185388565063477,0.007446159143000841,0.09011958539485931,0.716259777545929,0.009014054201543331,0.9619776606559753
3,hadamard_lm_k4v3,K4V3,0.3264750838279724,3.7159314155578613,0.001998565625399351,0.025858771055936813,0.8419433832168579,0.03238797187805176,0.9814929962158203
3,hadamard_lm_k4v4,K4V4,0.3264750838279724,3.7159314155578613,0.001998565625399351,0.025858771055936813,0.8419433832168579,0.009014054201543331,0.9881208539009094
4,absmax_k3v4,K3V4,2.431777000427246,112.16214752197266,0.02802002802491188,0.6559591293334961,0.5459228754043579,0.01676548831164837,0.8938573598861694
4,absmax_k4v3,K4V3,0.27529287338256836,32.218345642089844,0.007663580123335123,0.2196514904499054,0.716967761516571,0.0930359959602356,0.9441797137260437
4,absmax_k4v4,K4V4,0.27529287338256836,32.218345642089844,0.007663580123335123,0.2196514904499054,0.716967761516571,0.01676548831164837,0.9561846256256104
4,fp16,K16V16,0.0,0.0,0.0,0.0,1.0,0.0,1.0000067949295044
4,hadamard_lm_k2v4,K2V4,4.744683265686035,88.59727478027344,0.026366863399744034,0.5329262018203735,0.5731201171875,0.009286091662943363,0.9130880832672119
4,hadamard_lm_k3v3,K3V3,1.0082709789276123,30.035551071166992,0.007368853781372309,0.1753406673669815,0.73388671875,0.033761512488126755,0.9664556980133057
4,hadamard_lm_k3v4,K3V4,1.0082709789276123,30.035551071166992,0.007368853781372309,0.1753406673669815,0.73388671875,0.009286091662943363,0.9703860878944397
4,hadamard_lm_k4v3,K4V3,0.39048343896865845,7.178750514984131,0.0017397418851032853,0.04576979577541351,0.8575683832168579,0.033761512488126755,0.9856723546981812
4,hadamard_lm_k4v4,K4V4,0.39048343896865845,7.178750514984131,0.0017397418851032853,0.04576979577541351,0.8575683832168579,0.009286091662943363,0.9897481799125671
