bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,none,none,model.layers.0.self_attn,0,fp16,fp16,1.0000512599945068,0.0,0.0,0.0,0.0,1.0,16,0.0,none
K4V4,uniform fake quant KV baseline,-0.05456080660223961,0.026200002059340477,1.7837244272232056,4,0.02742999605834484,per_token_head_absmax,absmax_per_token_head,none,model.layers.0.self_attn,0,absmax,absmax_k4v4,0.9849516749382019,0.0316324345767498,0.027917208150029182,0.026200002059340477,0.010085389018058777,0.8564453125,4,0.03377990424633026,per_token_head_absmax
K3V4,uniform fake quant with lower key bits,-0.31603312492370605,0.09984426200389862,6.708972930908203,3,0.15649636089801788,per_token_head_absmax,absmax_per_token_head,none,model.layers.0.self_attn,0,absmax,absmax_k3v4,0.9363423585891724,0.12645840644836426,0.10638827830553055,0.09984426200389862,0.04694891721010208,0.721264660358429,4,0.03377990424633026,per_token_head_absmax
K4V3,uniform fake quant with lower value bits,-0.05456080660223961,0.026200002059340477,1.7837244272232056,4,0.02742999605834484,per_token_head_absmax,absmax_per_token_head,none,model.layers.0.self_attn,0,absmax,absmax_k4v3,0.9683095812797546,0.0687989592552185,0.027917208150029182,0.026200002059340477,0.010085389018058777,0.8564453125,3,0.10463521629571915,per_token_head_absmax
K4V4,rotated non-uniform KV fake quant,-0.020861294120550156,0.005957655608654022,0.40584537386894226,4,0.008479686453938484,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm,hadamard_lm_k4v4,0.9949222803115845,0.010396807454526424,0.00634813355281949,0.005957655608654022,0.002657733391970396,0.9021240472793579,4,0.008357872255146503,per_token_head_rms
K3V4,rotated non-uniform key bit reduction,-0.03679591417312622,0.0238613560795784,1.6258642673492432,3,0.03072323091328144,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm,hadamard_lm_k3v4,0.9814376831054688,0.037287306040525436,0.02542528323829174,0.0238613560795784,0.013828047551214695,0.8160400390625,4,0.008357872255146503,per_token_head_rms
K4V3,rotated non-uniform value bit reduction,-0.020861294120550156,0.005957655608654022,0.40584537386894226,4,0.008479686453938484,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm,hadamard_lm_k4v3,0.9898593425750732,0.02051129750907421,0.00634813355281949,0.005957655608654022,0.002657733391970396,0.9021240472793579,3,0.03034866787493229,per_token_head_rms
K3V3,aggressive rotated non-uniform KV fake quant,-0.03679591417312622,0.0238613560795784,1.6258642673492432,3,0.03072323091328144,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm,hadamard_lm_k3v3,0.977612316608429,0.04464763402938843,0.02542528323829174,0.0238613560795784,0.013828047551214695,0.8160400390625,3,0.03034866787493229,per_token_head_rms
K2V4,key 2-bit failure boundary,-0.1005273088812828,0.08482984453439713,5.774840831756592,2,0.1040322482585907,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.0.self_attn,0,hadamard_lm,hadamard_lm_k2v4,0.9587542414665222,0.08478787541389465,0.09038978070020676,0.08482984453439713,0.03921893984079361,0.6978515386581421,4,0.008357872255146503,per_token_head_rms
K16V16,baseline,0.0,0.0,0.0,16,0.0,none,none,none,model.layers.1.self_attn,1,fp16,fp16,1.0000079870224,0.0,0.0,0.0,0.0,1.0,16,0.0,none
