activation_bits,bits,block_size,codebook,compute_interpretation,cosine,element_format,layer_index,levels,method,mxfp4_group_size,original_finite_ratio,original_inf_count,original_kurtosis,original_max_mean_ratio,original_mean,original_nan_count,original_numel,original_outlier_ratio_3sigma,original_std,quantizer_type,relative_mse,rotated_finite_ratio,rotated_inf_count,rotated_kurtosis,rotated_max_mean_ratio,rotated_mean,rotated_nan_count,rotated_numel,rotated_outlier_ratio_3sigma,rotated_std,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,site,sqnr_db
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.9941815733909607,E2M1,17,,rot_mxfp4,32,1.0,0,14.691744804382324,14.638543128967285,-0.03298509493470192,0,1048576,0.02725696563720703,1.2927517890930176,mxfp4_e2m1_fake_quant,0.01259111799299717,1.0,0,2.574005365371704,5.761557102203369,0.03614271432161331,0,1048576,0.0010547637939453125,1.2926684617996216,block_hadamard_last_dim,hadamard,11,32768,E8M0_like_power2,group_power2,q_proj_out,18.999357223510742
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9959587454795837,,17,16,rot_lm,,1.0,0,14.691744804382324,14.638543128967285,-0.03298509493470192,0,1048576,0.02725696563720703,1.2927517890930176,non-uniform codebook,0.008387391455471516,1.0,0,2.574005365371704,5.761557102203369,0.03614271432161331,0,1048576,0.0010547637939453125,1.2926684617996216,block_hadamard_last_dim,hadamard,11,,,block_rms,q_proj_out,20.763731002807617
3,3,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.985248327255249,,17,8,rot_lm,,1.0,0,14.691744804382324,14.638543128967285,-0.03298509493470192,0,1048576,0.02725696563720703,1.2927517890930176,non-uniform codebook,0.029842546209692955,1.0,0,2.574005365371704,5.761557102203369,0.03614271432161331,0,1048576,0.0010547637939453125,1.2926684617996216,block_hadamard_last_dim,hadamard,11,,,block_rms,q_proj_out,15.251641273498535
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.9873696565628052,E2M1,17,,mxfp4,32,1.0,0,12.038453102111816,11.773930549621582,0.12206567823886871,0,131072,0.01647186279296875,2.5063700675964355,mxfp4_e2m1_fake_quant,0.02540597692131996,1.0,0,2.852325439453125,5.604825496673584,0.17126554250717163,0,131072,0.0015716552734375,2.5034897327423096,none,none,,4096,E8M0_like_power2,group_power2,k_proj_out,15.950641632080078
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.9934009313583374,E2M1,17,,rot_mxfp4,32,1.0,0,12.038453102111816,11.773930549621582,0.12206567823886871,0,131072,0.01647186279296875,2.5063700675964355,mxfp4_e2m1_fake_quant,0.013202221132814884,1.0,0,2.852325439453125,5.604825496673584,0.17126554250717163,0,131072,0.0015716552734375,2.5034897327423096,block_hadamard_last_dim,hadamard,11,4096,E8M0_like_power2,group_power2,k_proj_out,18.793529510498047
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9957236051559448,,17,16,rot_lm,,1.0,0,12.038453102111816,11.773930549621582,0.12206567823886871,0,131072,0.01647186279296875,2.5063700675964355,non-uniform codebook,0.008542000316083431,1.0,0,2.852325439453125,5.604825496673584,0.17126554250717163,0,131072,0.0015716552734375,2.5034897327423096,block_hadamard_last_dim,hadamard,11,,,block_rms,k_proj_out,20.684404373168945
3,3,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9845607280731201,,17,8,rot_lm,,1.0,0,12.038453102111816,11.773930549621582,0.12206567823886871,0,131072,0.01647186279296875,2.5063700675964355,non-uniform codebook,0.030799156054854393,1.0,0,2.852325439453125,5.604825496673584,0.17126554250717163,0,131072,0.0015716552734375,2.5034897327423096,block_hadamard_last_dim,hadamard,11,,,block_rms,k_proj_out,15.114611625671387
4,4,32,,MXFP4 E2M1 fake quant with 32-value group scales,0.9927546381950378,E2M1,17,,mxfp4,32,1.0,0,5.645041465759277,12.469531059265137,-0.0050409771502017975,0,131072,0.0120849609375,0.3241444230079651,mxfp4_e2m1_fake_quant,0.014462015591561794,1.0,0,5.099924087524414,10.871304512023926,0.005101390182971954,0,131072,0.01031494140625,0.3241429030895233,none,none,,4096,E8M0_like_power2,group_power2,v_proj_out,18.3977108001709
4,4,32,,Hadamard rotation + MXFP4 E2M1 fake quant,0.9931309819221497,E2M1,17,,rot_mxfp4,32,1.0,0,5.645041465759277,12.469531059265137,-0.0050409771502017975,0,131072,0.0120849609375,0.3241444230079651,mxfp4_e2m1_fake_quant,0.013713751919567585,1.0,0,5.099924087524414,10.871304512023926,0.005101390182971954,0,131072,0.01031494140625,0.3241429030895233,block_hadamard_last_dim,hadamard,11,4096,E8M0_like_power2,group_power2,v_proj_out,18.628437042236328
4,4,32,gaussian_lloyd_max_standard_normal,non-uniform codebook fake quant; not native INT GEMM,0.9955632090568542,,17,16,rot_lm,,1.0,0,5.645041465759277,12.469531059265137,-0.0050409771502017975,0,131072,0.0120849609375,0.3241444230079651,non-uniform codebook,0.008848910219967365,1.0,0,5.099924087524414,10.871304512023926,0.005101390182971954,0,131072,0.01031494140625,0.3241429030895233,block_hadamard_last_dim,hadamard,11,,,block_rms,v_proj_out,20.53110122680664
