a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9995962381362915,model.layers.0.self_attn.k_proj,rot_lm,rot_lm_w3a4,,0.0011121976422145963,block_hadamard_last_dim,hadamard,11,linear,29.53818130493164,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9979637861251831,model.layers.0.self_attn.k_proj,rot_lm,rot_lm_w4a3,,0.006043522618710995,block_hadamard_last_dim,hadamard,11,linear,22.18709945678711,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9978001117706299,model.layers.0.self_attn.k_proj,rot_lm,rot_lm_w3a3,,0.006880198139697313,block_hadamard_last_dim,hadamard,11,linear,21.623991012573242,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W4A4,128,randomized Hadamard + non-uniform codebook fake quant,0.9997792840003967,model.layers.0.self_attn.k_proj,randhadamard_lm,randhadamard_lm_w4a4,,0.00054159015417099,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,32.663291931152344,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,randomized Hadamard + non-uniform codebook fake quant,0.9995707869529724,model.layers.0.self_attn.k_proj,randhadamard_lm,randhadamard_lm_w3a4,,0.0012392555363476276,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,29.068391799926758,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,randomized Hadamard + non-uniform codebook fake quant,0.9980587959289551,model.layers.0.self_attn.k_proj,randhadamard_lm,randhadamard_lm_w4a3,,0.005961355287581682,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,22.246549606323242,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W4A4,128,dense random orthogonal + non-uniform codebook fake quant,0.9998423457145691,model.layers.0.self_attn.k_proj,randortho_lm,randortho_lm_w4a4,,0.0004923202213831246,block_random_orthogonal_last_dim,random_orthogonal,11,linear,33.07752227783203,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,dense random orthogonal + non-uniform codebook fake quant,0.9996383190155029,model.layers.0.self_attn.k_proj,randortho_lm,randortho_lm_w3a4,,0.0013169136364012957,block_random_orthogonal_last_dim,random_orthogonal,11,linear,28.804426193237305,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,dense random orthogonal + non-uniform codebook fake quant,0.9996596574783325,model.layers.0.self_attn.k_proj,randortho_lm,randortho_lm_w4a3,,0.0024490843061357737,block_random_orthogonal_last_dim,random_orthogonal,11,linear,26.109962463378906,4,non-uniform codebook,block_rms
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9243881702423096,model.layers.0.self_attn.v_proj,direct_absmax,direct_absmax_w4a4,,0.1464705914258957,none,none,,linear,8.342495918273926,4,uniform integer-like,last_dim_block_absmax
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9622097611427307,model.layers.0.self_attn.v_proj,mxfp4,mxfp4_w4a4,32,0.07416138797998428,none,none,,linear,11.298221588134766,4,mxfp4_e2m1_fake_quant,group_power2
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9107601642608643,model.layers.0.self_attn.v_proj,rot_absmax,rot_absmax_w4a4,,0.20111671090126038,block_hadamard_last_dim,hadamard,11,linear,6.965518474578857,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.921759307384491,model.layers.0.self_attn.v_proj,rot_lm,rot_lm_w4a4,,0.17325234413146973,block_hadamard_last_dim,hadamard,11,linear,7.613208770751953,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.815297544002533,model.layers.0.self_attn.v_proj,rot_lm,rot_lm_w3a4,,0.4730895161628723,block_hadamard_last_dim,hadamard,11,linear,3.2505669593811035,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.8462250232696533,model.layers.0.self_attn.v_proj,rot_lm,rot_lm_w4a3,,0.41935092210769653,block_hadamard_last_dim,hadamard,11,linear,3.774223804473877,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.7648423910140991,model.layers.0.self_attn.v_proj,rot_lm,rot_lm_w3a3,,0.7153984308242798,block_hadamard_last_dim,hadamard,11,linear,1.4545199871063232,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W4A4,128,randomized Hadamard + non-uniform codebook fake quant,0.9187620282173157,model.layers.0.self_attn.v_proj,randhadamard_lm,randhadamard_lm_w4a4,,0.1785447597503662,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,7.4825286865234375,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,randomized Hadamard + non-uniform codebook fake quant,0.8264288306236267,model.layers.0.self_attn.v_proj,randhadamard_lm,randhadamard_lm_w3a4,,0.4304386079311371,block_randomized_hadamard_last_dim,randomized_hadamard,11,linear,3.6608877182006836,3,non-uniform codebook,block_rms
