a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,down_activation_quantizer_type,down_weight_quantizer_type,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
16,,,FP16,,baseline,1.0000139474868774,,,model.layers.0.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,76.10737609863281,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9705386161804199,uniform integer-like,uniform integer-like,model.layers.0.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.058176588267087936,none,none,,ffn,12.352518081665039,4,uniform integer-like,last_dim_block_absmax
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9850944876670837,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.0.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.030666831880807877,none,none,,ffn,15.133310317993164,4,mxfp4_e2m1_fake_quant,group_power2
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9911956191062927,uniform integer-like,uniform integer-like,model.layers.0.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.018024422228336334,block_hadamard_last_dim,hadamard,11,ffn,17.441387176513672,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.992924153804779,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,rot_lm,ffn_rot_lm_w4a4,,0.01472519338130951,block_hadamard_last_dim,hadamard,11,ffn,18.31938934326172,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9835880994796753,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,rot_lm,ffn_rot_lm_w3a4,,0.03810896351933479,block_hadamard_last_dim,hadamard,11,ffn,14.189728736877441,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9825313091278076,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,rot_lm,ffn_rot_lm_w4a3,,0.03701449930667877,block_hadamard_last_dim,hadamard,11,ffn,14.31628131866455,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9730332493782043,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,rot_lm,ffn_rot_lm_w3a3,,0.06239021196961403,block_hadamard_last_dim,hadamard,11,ffn,12.048835754394531,3,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W4A4,128,randomized Hadamard + non-uniform codebook fake quant,0.9930557012557983,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,randhadamard_lm,ffn_randhadamard_lm_w4a4,,0.014781213365495205,block_randomized_hadamard_last_dim,randomized_hadamard,11,ffn,18.302898406982422,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,randomized Hadamard + non-uniform codebook fake quant,0.9833949208259583,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,randhadamard_lm,ffn_randhadamard_lm_w3a4,,0.03832893446087837,block_randomized_hadamard_last_dim,randomized_hadamard,11,ffn,14.164732933044434,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,randomized Hadamard + non-uniform codebook fake quant,0.982697606086731,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,randhadamard_lm,ffn_randhadamard_lm_w4a3,,0.03763580322265625,block_randomized_hadamard_last_dim,randomized_hadamard,11,ffn,14.243988037109375,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W4A4,128,dense random orthogonal + non-uniform codebook fake quant,0.9924525618553162,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,randortho_lm,ffn_randortho_lm_w4a4,,0.01685575768351555,block_random_orthogonal_last_dim,random_orthogonal,11,ffn,17.73251724243164,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,dense random orthogonal + non-uniform codebook fake quant,0.9828298687934875,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,randortho_lm,ffn_randortho_lm_w3a4,,0.0427146814763546,block_random_orthogonal_last_dim,random_orthogonal,11,ffn,13.694228172302246,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,dense random orthogonal + non-uniform codebook fake quant,0.9815930724143982,non-uniform codebook,non-uniform codebook,model.layers.0.mlp,randortho_lm,ffn_randortho_lm_w4a3,,0.04529094323515892,block_random_orthogonal_last_dim,random_orthogonal,11,ffn,13.439886093139648,4,non-uniform codebook,block_rms
16,,,FP16,,baseline,1.0000001192092896,,,model.layers.1.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,78.76273345947266,16,,
4,uniform integer-like,last_dim_block_absmax,W4A4,128,block-wise uniform fake quant; future INT mapping is plausible,0.9685657620429993,uniform integer-like,uniform integer-like,model.layers.1.mlp,direct_absmax,ffn_direct_absmax_w4a4,,0.06464823335409164,none,none,,ffn,11.894433975219727,4,uniform integer-like,last_dim_block_absmax
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9784213304519653,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.1.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.04281711205840111,none,none,,ffn,13.683825492858887,4,mxfp4_e2m1_fake_quant,group_power2
4,uniform integer-like,last_dim_block_absmax,W4A4,128,rotation + uniform fake quant; needs rotation handling,0.9827412366867065,uniform integer-like,uniform integer-like,model.layers.1.mlp,rot_absmax,ffn_rot_absmax_w4a4,,0.03536747768521309,block_hadamard_last_dim,hadamard,11,ffn,14.513958930969238,4,uniform integer-like,last_dim_block_absmax
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.987731397151947,non-uniform codebook,non-uniform codebook,model.layers.1.mlp,rot_lm,ffn_rot_lm_w4a4,,0.024952340871095657,block_hadamard_last_dim,hadamard,11,ffn,16.028886795043945,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9711402654647827,non-uniform codebook,non-uniform codebook,model.layers.1.mlp,rot_lm,ffn_rot_lm_w3a4,,0.060290053486824036,block_hadamard_last_dim,hadamard,11,ffn,12.197543144226074,3,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W4A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9704856872558594,non-uniform codebook,non-uniform codebook,model.layers.1.mlp,rot_lm,ffn_rot_lm_w4a3,,0.06091943383216858,block_hadamard_last_dim,hadamard,11,ffn,12.15244197845459,4,non-uniform codebook,block_rms
3,non-uniform codebook,block_rms,W3A3,128,non-uniform codebook fake quant; not native INT GEMM,0.9539580941200256,non-uniform codebook,non-uniform codebook,model.layers.1.mlp,rot_lm,ffn_rot_lm_w3a3,,0.09724501520395279,block_hadamard_last_dim,hadamard,11,ffn,10.121326446533203,3,non-uniform codebook,block_rms
