method_key,linear_bits,kv_bits,projection_relative_mse,score_relative_mse,softmax_kl,topk_overlap,layer_output_relative_mse,layer_output_cosine
attn_rot_lm_w4a4_hlm_k4v4,W4A4,K4V4,0.05835084419231862,0.010309225879609585,0.004012049175798893,1.0,0.04290296137332916,0.9783608913421631
fp16,FP16,K16V16,0.0,0.0,0.0,1.0,0.0,1.0
