a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9929154515266418,model.layers.0.self_attn.q_proj,mxfp4,mxfp4_w4a4,32,0.014167378656566143,none,none,,linear,18.487106323242188,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9992534518241882,model.layers.0.self_attn.q_proj,rot_mxfp4,rot_mxfp4_w4a4,32,0.001684111193753779,block_hadamard_last_dim,hadamard,11,linear,27.736291885375977,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9996622204780579,model.layers.0.self_attn.q_proj,rot_lm,rot_lm_w4a4,,0.0009073824039660394,block_hadamard_last_dim,hadamard,11,linear,30.422096252441406,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.999253511428833,model.layers.0.self_attn.q_proj,rot_lm,rot_lm_w3a4,,0.0019487569807097316,block_hadamard_last_dim,hadamard,11,linear,27.1024227142334,3,non-uniform codebook,block_rms
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9929110407829285,model.layers.0.self_attn.k_proj,mxfp4,mxfp4_w4a4,32,0.015305165201425552,none,none,,linear,18.15161895751953,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9994595050811768,model.layers.0.self_attn.k_proj,rot_mxfp4,rot_mxfp4_w4a4,32,0.0011954900110140443,block_hadamard_last_dim,hadamard,11,linear,29.22454071044922,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9997605085372925,model.layers.0.self_attn.k_proj,rot_lm,rot_lm_w4a4,,0.0006238653440959752,block_hadamard_last_dim,hadamard,11,linear,32.04909133911133,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9995962381362915,model.layers.0.self_attn.k_proj,rot_lm,rot_lm_w3a4,,0.0011121976422145963,block_hadamard_last_dim,hadamard,11,linear,29.53818130493164,3,non-uniform codebook,block_rms
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9622097611427307,model.layers.0.self_attn.v_proj,mxfp4,mxfp4_w4a4,32,0.07416138797998428,none,none,,linear,11.298221588134766,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.8809080123901367,model.layers.0.self_attn.v_proj,rot_mxfp4,rot_mxfp4_w4a4,32,0.2774474024772644,block_hadamard_last_dim,hadamard,11,linear,5.5681939125061035,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.921759307384491,model.layers.0.self_attn.v_proj,rot_lm,rot_lm_w4a4,,0.17325234413146973,block_hadamard_last_dim,hadamard,11,linear,7.613208770751953,4,non-uniform codebook,block_rms
