a_bits,activation_quantizer_type,activation_scale_granularity,bits,block_size,compute_interpretation,cosine,down_activation_quantizer_type,down_weight_quantizer_type,layer,method,method_key,mxfp4_group_size,relative_mse,rotation,rotation_backend,rotation_seed,site,sqnr_db,w_bits,weight_quantizer_type,weight_scale_granularity
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9776000380516052,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.3.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.04440000653266907,block_hadamard_last_dim,hadamard,11,ffn,13.526168823242188,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9846829771995544,non-uniform codebook,non-uniform codebook,model.layers.3.mlp,rot_lm,ffn_rot_lm_w4a4,,0.030647749081254005,block_hadamard_last_dim,hadamard,11,ffn,15.136013984680176,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9643297791481018,non-uniform codebook,non-uniform codebook,model.layers.3.mlp,rot_lm,ffn_rot_lm_w3a4,,0.07188307493925095,block_hadamard_last_dim,hadamard,11,ffn,11.433733940124512,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999982118606567,,,model.layers.4.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,84.73638916015625,16,,
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9699479341506958,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.4.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.05920490622520447,none,none,,ffn,12.276422500610352,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9734340310096741,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.4.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.0524483323097229,block_hadamard_last_dim,hadamard,11,ffn,12.802682876586914,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9821081757545471,non-uniform codebook,non-uniform codebook,model.layers.4.mlp,rot_lm,ffn_rot_lm_w4a4,,0.03562615066766739,block_hadamard_last_dim,hadamard,11,ffn,14.482311248779297,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9580122828483582,non-uniform codebook,non-uniform codebook,model.layers.4.mlp,rot_lm,ffn_rot_lm_w3a4,,0.0834861695766449,block_hadamard_last_dim,hadamard,11,ffn,10.783854484558105,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999955892562866,,,model.layers.5.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,86.46419525146484,16,,
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9699703454971313,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.5.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.05920890346169472,none,none,,ffn,12.276129722595215,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9738684892654419,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.5.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.051606226712465286,block_hadamard_last_dim,hadamard,11,ffn,12.872978210449219,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9823405146598816,non-uniform codebook,non-uniform codebook,model.layers.5.mlp,rot_lm,ffn_rot_lm_w4a4,,0.035137519240379333,block_hadamard_last_dim,hadamard,11,ffn,14.542288780212402,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9587888121604919,non-uniform codebook,non-uniform codebook,model.layers.5.mlp,rot_lm,ffn_rot_lm_w3a4,,0.08184188604354858,block_hadamard_last_dim,hadamard,11,ffn,10.870243072509766,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999933838844299,,,model.layers.6.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,88.00213623046875,16,,
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.969083845615387,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.6.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.06087566912174225,none,none,,ffn,12.155562400817871,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9733791947364807,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.6.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.05258076637983322,block_hadamard_last_dim,hadamard,11,ffn,12.791729927062988,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9819638133049011,non-uniform codebook,non-uniform codebook,model.layers.6.mlp,rot_lm,ffn_rot_lm_w4a4,,0.03589204326272011,block_hadamard_last_dim,hadamard,11,ffn,14.450017929077148,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.95860356092453,non-uniform codebook,non-uniform codebook,model.layers.6.mlp,rot_lm,ffn_rot_lm_w3a4,,0.0823444351553917,block_hadamard_last_dim,hadamard,11,ffn,10.843657493591309,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,1.000229835510254,,,model.layers.7.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,112.34773254394531,16,,
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9969055652618408,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.7.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.03440346568822861,none,none,,ffn,14.633978843688965,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9975709915161133,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.7.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.008637892082333565,block_hadamard_last_dim,hadamard,11,ffn,20.635921478271484,4,mxfp4_e2m1_fake_quant,group_power2
4,non-uniform codebook,block_rms,W4A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9984889626502991,non-uniform codebook,non-uniform codebook,model.layers.7.mlp,rot_lm,ffn_rot_lm_w4a4,,0.009827635250985622,block_hadamard_last_dim,hadamard,11,ffn,20.075510025024414,4,non-uniform codebook,block_rms
4,non-uniform codebook,block_rms,W3A4,128,non-uniform codebook fake quant; not native INT GEMM,0.9939543604850769,non-uniform codebook,non-uniform codebook,model.layers.7.mlp,rot_lm,ffn_rot_lm_w3a4,,0.031970858573913574,block_hadamard_last_dim,hadamard,11,ffn,14.952457427978516,3,non-uniform codebook,block_rms
16,,,FP16,,baseline,0.9999983906745911,,,model.layers.8.mlp,fp16,ffn_fp16,,0.0,none,,,ffn,90.8321533203125,16,,
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,MXFP4 E2M1 fake quant with 32-value group scales,0.9683685898780823,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.8.mlp,mxfp4,ffn_mxfp4_w4a4,32,0.06229841709136963,none,none,,ffn,12.055230140686035,4,mxfp4_e2m1_fake_quant,group_power2
4,mxfp4_e2m1_fake_quant,group_power2,W4A4,128,Hadamard rotation + MXFP4 E2M1 fake quant,0.9737911224365234,mxfp4_e2m1_fake_quant,mxfp4_e2m1_fake_quant,model.layers.8.mlp,rot_mxfp4,ffn_rot_mxfp4_w4a4,32,0.051744457334280014,block_hadamard_last_dim,hadamard,11,ffn,12.861361503601074,4,mxfp4_e2m1_fake_quant,group_power2
