bits,block_size,codebook,cosine,element_format,int_gemm_friendly,layer,levels,method,mxfp4_group_size,quantizer_type,relative_mse,rotation,rotation_backend,rotation_seed,scale_count,scale_format,scale_granularity,sqnr_db,weight_finite_ratio,weight_inf_count,weight_kurtosis,weight_max_mean_ratio,weight_mean,weight_nan_count,weight_numel,weight_outlier_ratio_3sigma,weight_std
4,128,,0.991227924823761,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.self_attn.q_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.021009273827075958,none,none,,131072,E8M0_like_power2,group_power2,16.775890350341797,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
4,128,,0.994462788105011,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.self_attn.q_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.012809033505618572,polar_hadamard_blockwise,hadamard,11,131072,E8M0_like_power2,group_power2,18.924835205078125,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
4,128,gaussian_lloyd_max_standard_normal,0.9964129328727722,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.q_proj,16,hadamard_lm,,non-uniform codebook,0.00895988941192627,polar_hadamard_blockwise,hadamard,11,,,,20.476972579956055,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
3,128,gaussian_lloyd_max_standard_normal,0.984550416469574,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.q_proj,8,hadamard_lm,,non-uniform codebook,0.032385777682065964,polar_hadamard_blockwise,hadamard,11,,,,14.896455764770508,1.0,0,145.2073211669922,177.43544006347656,-7.3281125878565945e-06,0,4194304,0.016659975051879883,0.016397608444094658
4,128,,0.988242506980896,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.self_attn.k_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.023545317351818085,none,none,,16384,E8M0_like_power2,group_power2,16.280954360961914,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
4,128,,0.993740975856781,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.self_attn.k_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.012607084587216377,polar_hadamard_blockwise,hadamard,11,16384,E8M0_like_power2,group_power2,18.993852615356445,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
4,128,gaussian_lloyd_max_standard_normal,0.9956686496734619,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.k_proj,16,hadamard_lm,,non-uniform codebook,0.008773871697485447,polar_hadamard_blockwise,hadamard,11,,,,20.568086624145508,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
3,128,gaussian_lloyd_max_standard_normal,0.9841456413269043,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.k_proj,8,hadamard_lm,,non-uniform codebook,0.03164634108543396,polar_hadamard_blockwise,hadamard,11,,,,14.99676513671875,1.0,0,301.9243469238281,204.19554138183594,-9.903735190164298e-05,0,524288,0.0185699462890625,0.03175876662135124
4,128,,0.9927647709846497,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.self_attn.v_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.014437307603657246,none,none,,16384,E8M0_like_power2,group_power2,18.40513801574707,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
4,128,,0.9933664798736572,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.self_attn.v_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013214738108217716,polar_hadamard_blockwise,hadamard,11,16384,E8M0_like_power2,group_power2,18.789413452148438,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
4,128,gaussian_lloyd_max_standard_normal,0.9953392148017883,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.v_proj,16,hadamard_lm,,non-uniform codebook,0.00929972529411316,polar_hadamard_blockwise,hadamard,11,,,,20.31529998779297,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
3,128,gaussian_lloyd_max_standard_normal,0.9830266833305359,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.v_proj,8,hadamard_lm,,non-uniform codebook,0.03365893289446831,polar_hadamard_blockwise,hadamard,11,,,,14.728996276855469,1.0,0,3.8892481327056885,8.143416404724121,1.1429627193138003e-05,0,524288,0.00750732421875,0.011014769785106182
4,128,,0.994148850440979,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.self_attn.o_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.015085532329976559,none,none,,131072,E8M0_like_power2,group_power2,18.214393615722656,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
4,128,,0.994147777557373,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.self_attn.o_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.01333068497478962,polar_hadamard_blockwise,hadamard,11,131072,E8M0_like_power2,group_power2,18.751476287841797,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
4,128,gaussian_lloyd_max_standard_normal,0.9958881139755249,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.o_proj,16,hadamard_lm,,non-uniform codebook,0.009852227754890919,polar_hadamard_blockwise,hadamard,11,,,,20.064655303955078,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
3,128,gaussian_lloyd_max_standard_normal,0.9828232526779175,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.self_attn.o_proj,8,hadamard_lm,,non-uniform codebook,0.03565116599202156,polar_hadamard_blockwise,hadamard,11,,,,14.479263305664062,1.0,0,55.27106857299805,68.61408233642578,1.1386696314730216e-06,0,4194304,0.012922048568725586,0.008297734893858433
4,128,,0.9995622634887695,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.mlp.gate_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.01402705442160368,none,none,,360448,E8M0_like_power2,group_power2,18.53033447265625,1.0,0,4.574338912963867,38.06026840209961,-1.965004048543051e-05,0,11534336,0.004749298095703125,0.016550811007618904
4,128,,0.9960178136825562,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.mlp.gate_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013217020779848099,polar_hadamard_blockwise,hadamard,11,360448,E8M0_like_power2,group_power2,18.788663864135742,1.0,0,4.574338912963867,38.06026840209961,-1.965004048543051e-05,0,11534336,0.004749298095703125,0.016550811007618904
4,128,gaussian_lloyd_max_standard_normal,0.9979850649833679,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.mlp.gate_proj,16,hadamard_lm,,non-uniform codebook,0.009310195222496986,polar_hadamard_blockwise,hadamard,11,,,,20.31041145324707,1.0,0,4.574338912963867,38.06026840209961,-1.965004048543051e-05,0,11534336,0.004749298095703125,0.016550811007618904
3,128,gaussian_lloyd_max_standard_normal,0.9855350255966187,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.mlp.gate_proj,8,hadamard_lm,,non-uniform codebook,0.0339103564620018,polar_hadamard_blockwise,hadamard,11,,,,14.696676254272461,1.0,0,4.574338912963867,38.06026840209961,-1.965004048543051e-05,0,11534336,0.004749298095703125,0.016550811007618904
4,128,,0.9993700981140137,E2M1,Yes-ish; MXFP4-style block floating-point path,model.layers.0.mlp.up_proj,,mxfp4,32,mxfp4_e2m1_fake_quant,0.013766997493803501,none,none,,360448,E8M0_like_power2,group_power2,18.61160659790039,1.0,0,3.243784189224243,12.798120498657227,-7.822275165381143e-07,0,11534336,0.0036104375030845404,0.016835834830999374
4,128,,0.9959090352058411,E2M1,Yes-ish; rotated MXFP4 needs rotation handling,model.layers.0.mlp.up_proj,,hadamard_mxfp4,32,mxfp4_e2m1_fake_quant,0.013241450302302837,polar_hadamard_blockwise,hadamard,11,360448,E8M0_like_power2,group_power2,18.7806453704834,1.0,0,3.243784189224243,12.798120498657227,-7.822275165381143e-07,0,11534336,0.0036104375030845404,0.016835834830999374
4,128,gaussian_lloyd_max_standard_normal,0.997901201248169,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.mlp.up_proj,16,hadamard_lm,,non-uniform codebook,0.00931960716843605,polar_hadamard_blockwise,hadamard,11,,,,20.3060245513916,1.0,0,3.243784189224243,12.798120498657227,-7.822275165381143e-07,0,11534336,0.0036104375030845404,0.016835834830999374
3,128,gaussian_lloyd_max_standard_normal,0.985423743724823,,No; needs LUT/dequant or codebook-aware MAC,model.layers.0.mlp.up_proj,8,hadamard_lm,,non-uniform codebook,0.03393940255045891,polar_hadamard_blockwise,hadamard,11,,,,14.69295883178711,1.0,0,3.243784189224243,12.798120498657227,-7.822275165381143e-07,0,11534336,0.0036104375030845404,0.016835834830999374
