layer_index,method_key,projection_relative_mse,score_relative_mse,softmax_kl,topk_overlap,pre_o_output_relative_mse,pre_o_output_cosine,layer_output_relative_mse,layer_output_cosine
0,attn_identity_fp16,4.7524472061392466e-08,1.1118071086002601e-07,2.4519899000097212e-08,0.9996582269668579,1.4252444202611514e-07,1.0000478029251099,6.530528651182976e-08,1.0000388622283936
0,attn_kv_only_hlm_k3v4_oabsorb,4.7524472061392466e-08,0.023541320115327835,0.009922809898853302,0.887280285358429,0.030962130054831505,0.9845116138458252,0.006487114354968071,0.9968849420547485
0,attn_kv_only_hlm_k4v3_oabsorb,4.7524472061392466e-08,0.006157762836664915,0.0027221296913921833,0.9393554925918579,0.026193177327513695,0.986902117729187,0.00394284026697278,0.9983357191085815
0,attn_kv_only_hlm_k4v4_oabsorb,4.7524472061392466e-08,0.006157762836664915,0.0027221296913921833,0.9393554925918579,0.012455513700842857,0.9938308000564575,0.0019772909581661224,0.9990546703338623
0,attn_kv_only_hlm_k4v4_reconstruct,4.7524472061392466e-08,0.006157762836664915,0.0027221296913921833,0.9393554925918579,0.012455514632165432,0.9938309192657471,0.0019771235529333353,0.999055027961731
0,attn_rot_lm_w3a4_hlm_k3v4_oabsorb,0.15899886097759008,0.027693936601281166,0.010196695104241371,0.8782958984375,1.1878550052642822,0.6633950471878052,0.09522930532693863,0.9552671313285828
0,attn_rot_lm_w4a3_hlm_k4v3_oabsorb,0.14428472984582186,0.02385963313281536,0.006583203561604023,0.8797363042831421,0.4564429819583893,0.8153151869773865,0.04062755033373833,0.9804636240005493
0,attn_rot_lm_w4a4_hlm_k4v4_oabsorb,0.05857976068121692,0.0075341020710766315,0.0032636690884828568,0.9249267578125,0.331414133310318,0.8627692461013794,0.023274727165699005,0.9887329936027527
0,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
1,attn_identity_fp16,4.194070513108272e-08,8.296454012679533e-08,1.4897437949912273e-07,0.9996582269668579,3.884436523549084e-07,1.000012755393982,4.0211449459093274e-07,1.0000014305114746
1,attn_kv_only_hlm_k3v4_oabsorb,4.194070513108272e-08,0.013474526815116405,0.03539542481303215,0.873291015625,0.0624116025865078,0.968322217464447,0.05598814785480499,0.9716758728027344
1,attn_kv_only_hlm_k4v3_oabsorb,4.194070513108272e-08,0.0037110536359250546,0.010760251432657242,0.926025390625,0.04940677434206009,0.9750704765319824,0.03946452960371971,0.9800983667373657
1,attn_kv_only_hlm_k4v4_oabsorb,4.194070513108272e-08,0.0037110536359250546,0.010760251432657242,0.926025390625,0.027396032586693764,0.9862636923789978,0.023613806813955307,0.9881266951560974
1,attn_kv_only_hlm_k4v4_reconstruct,4.194070513108272e-08,0.0037110536359250546,0.010760251432657242,0.926025390625,0.027396032586693764,0.9862636923789978,0.023613877594470978,0.9881271123886108
1,attn_rot_lm_w3a4_hlm_k3v4_oabsorb,0.18748718484615287,0.021709393709897995,0.04096345603466034,0.8647216558456421,3.42769193649292,0.4230588972568512,0.7851446866989136,0.6876220703125
1,attn_rot_lm_w4a3_hlm_k4v3_oabsorb,0.1986368247307837,0.013654847629368305,0.027158480137586594,0.88232421875,1.6762701272964478,0.5916064977645874,0.530403733253479,0.7875882387161255
1,attn_rot_lm_w4a4_hlm_k4v4_oabsorb,0.08415948417192946,0.006823914125561714,0.014444215223193169,0.915478527545929,1.2263226509094238,0.6531451940536499,0.3004189729690552,0.8648726940155029
1,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2,attn_identity_fp16,4.310624746040048e-08,1.1470814342828817e-07,9.985816973312467e-08,0.9996582269668579,3.1063595429259294e-07,1.0000156164169312,3.2390585147368256e-07,1.0000090599060059
2,attn_kv_only_hlm_k3v4_oabsorb,4.310624746040048e-08,0.024293750524520874,0.028885073959827423,0.8896484375,0.05993272736668587,0.9699525237083435,0.047827936708927155,0.9758028388023376
2,attn_kv_only_hlm_k4v3_oabsorb,4.310624746040048e-08,0.006495258305221796,0.007800105027854443,0.9369872808456421,0.04919637739658356,0.9752588868141174,0.03296013921499252,0.9833943843841553
2,attn_kv_only_hlm_k4v4_oabsorb,4.310624746040048e-08,0.006495258305221796,0.007800105027854443,0.9369872808456421,0.024299796670675278,0.987835705280304,0.018716225400567055,0.9906140565872192
2,attn_kv_only_hlm_k4v4_reconstruct,4.310624746040048e-08,0.006495258305221796,0.007800105027854443,0.9369872808456421,0.024299796670675278,0.987835705280304,0.018715811893343925,0.9906160831451416
2,attn_rot_lm_w3a4_hlm_k3v4_oabsorb,0.0913283343737324,0.03399759903550148,0.035617645829916,0.8787841796875,1.688226342201233,0.5488404631614685,0.3817242681980133,0.8046771287918091
2,attn_rot_lm_w4a3_hlm_k4v3_oabsorb,0.08553362342839439,0.014900913462042809,0.01674584299325943,0.9168456792831421,0.7487767934799194,0.7222146987915039,0.222806915640831,0.8864244222640991
2,attn_rot_lm_w4a4_hlm_k4v4_oabsorb,0.03831980187290659,0.009877882897853851,0.010948712937533855,0.932055652141571,0.5648524761199951,0.7816268801689148,0.12176217883825302,0.9383899569511414
2,fp16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
3,attn_identity_fp16,4.297081801496461e-08,5.365057020867425e-08,1.0280324147515785e-07,0.999438464641571,7.750790587124357e-07,1.0000135898590088,6.6489354821897e-07,1.0000073909759521
3,attn_kv_only_hlm_k3v4_oabsorb,4.297081801496461e-08,0.007376226130872965,0.016122967004776,0.837207019329071,0.12659232318401337,0.9431254267692566,0.09419377893209457,0.9586748480796814
3,attn_kv_only_hlm_k4v3_oabsorb,4.297081801496461e-08,0.0020436416380107403,0.004065824672579765,0.9112548828125,0.05356656759977341,0.9740055799484253,0.03659382462501526,0.9822353720664978
3,attn_kv_only_hlm_k4v4_oabsorb,4.297081801496461e-08,0.0020436416380107403,0.004065824672579765,0.9112548828125,0.035923901945352554,0.982938289642334,0.026436813175678253,0.9879389405250549
3,attn_kv_only_hlm_k4v4_reconstruct,4.297081801496461e-08,0.0020436416380107403,0.004065824672579765,0.9112548828125,0.035923901945352554,0.982938289642334,0.02643435448408127,0.9879382848739624
3,attn_rot_lm_w3a4_hlm_k3v4_oabsorb,0.022355598552773397,0.014881448820233345,0.028777092695236206,0.8213866949081421,0.4115142524242401,0.8555310964584351,0.2524663209915161,0.8940089344978333
