site,method,bits,relative_mse,cosine,sqnr_db
attn_input,direct_absmax,2,0.5693542473018169,0.6789972260594368,2.4897810965776443
attn_input,direct_absmax,3,0.21884258138015866,0.894545242190361,6.667723909020424
attn_input,direct_absmax,4,0.056921795941889286,0.9725290928035975,12.51544851064682
attn_input,rot_absmax,2,0.5596630349755287,0.7655863016843796,2.525543875992298
attn_input,rot_absmax,3,0.06625633174553514,0.9686299804598093,11.798341453075409
attn_input,rot_absmax,4,0.012160104437498376,0.9940611738711596,19.16135597229004
attn_input,rot_lm,2,0.10932973469607532,0.944042943418026,9.61418354511261
attn_input,rot_lm,3,0.03222500620177016,0.9838601220399141,14.918562322854996
attn_input,rot_lm,4,0.008885321847628802,0.9956313241273165,20.513998210430145
ffn_input,direct_absmax,2,0.6417409125715494,0.6767881419509649,1.927410390228033
ffn_input,direct_absmax,3,0.12215443816967309,0.9433400202542543,9.208593025803566
ffn_input,direct_absmax,4,0.0234034598688595,0.988535076379776,16.41358456015587
ffn_input,rot_absmax,2,0.5843440964818001,0.7443278059363365,2.3333408012986183
ffn_input,rot_absmax,3,0.07380209304392338,0.9651970341801643,11.31949931383133
ffn_input,rot_absmax,4,0.013547575392294675,0.9933470785617828,18.681569576263428
ffn_input,rot_lm,2,0.11518094222992659,0.9406990110874176,9.386256754398346
ffn_input,rot_lm,3,0.03371288918424398,0.9830479957163334,14.72209957242012
ffn_input,rot_lm,4,0.00925099613959901,0.9954114481806755,20.338168919086456
ffn_intermediate,direct_absmax,2,0.46078456725081196,0.752706840634346,4.077508881688118
ffn_intermediate,direct_absmax,3,0.1550110578918975,0.9251606557518244,8.77874207496643
ffn_intermediate,direct_absmax,4,0.04525713275461385,0.9782642181962729,14.102223515510559
ffn_intermediate,rot_absmax,2,0.503351906700118,0.7979604732245207,3.640484981238842
ffn_intermediate,rot_absmax,3,0.05806659272138859,0.9731973335146904,13.02681589126587
ffn_intermediate,rot_absmax,4,0.010643569258036223,0.9957158844918013,20.391065776348114
ffn_intermediate,rot_lm,2,0.11877259099856019,0.9455517884343863,9.324205875396729
ffn_intermediate,rot_lm,3,0.03328357695136219,0.985142920166254,14.809651643037796
ffn_intermediate,rot_lm,4,0.008468501982861198,0.9967882893979549,20.814230144023895
k_proj_out,direct_absmax,2,0.64429796859622,0.6216806396842003,1.912998951971531
k_proj_out,direct_absmax,3,0.23045458225533366,0.8932007309049368,6.4218320697546005
k_proj_out,direct_absmax,4,0.051165138953365386,0.9753420986235142,12.994965940713882
k_proj_out,rot_absmax,2,0.5766251496970654,0.7518750932067633,2.3917307183146477
k_proj_out,rot_absmax,3,0.07052935182582587,0.9665966741740704,11.520190298557281
k_proj_out,rot_absmax,4,0.012956263613887131,0.9935910664498806,18.87898862361908
k_proj_out,rot_lm,2,0.11191975395195186,0.9424146693199873,9.512032866477966
k_proj_out,rot_lm,3,0.03281625435920432,0.9834692813456059,14.840109825134277
k_proj_out,rot_lm,4,0.00905656348913908,0.9954636208713055,20.431529998779297
q_proj_out,direct_absmax,2,0.564766850322485,0.6824785824865103,2.4859132915735245
q_proj_out,direct_absmax,3,0.23371638054959476,0.8872177358716726,6.3669154196977615
q_proj_out,direct_absmax,4,0.06040445831604302,0.9709061831235886,12.303637534379959
q_proj_out,rot_absmax,2,0.5598893593996763,0.765346085652709,2.519915319979191
q_proj_out,rot_absmax,3,0.06606653658673167,0.9687296450138092,11.80634593963623
q_proj_out,rot_absmax,4,0.012127809372032061,0.9941027127206326,19.168497443199158
q_proj_out,rot_lm,2,0.10861786175519228,0.9443293549120426,9.642880976200104
q_proj_out,rot_lm,3,0.03193869045935571,0.9840372130274773,14.9578358232975
q_proj_out,rot_lm,4,0.008834753592964262,0.9956843592226505,20.53865021467209
v_proj_out,direct_absmax,2,0.6417723540216684,0.6774453464895487,1.9279075227677822
v_proj_out,direct_absmax,3,0.12011272343806922,0.9442872051149607,9.266909420490265
v_proj_out,direct_absmax,4,0.022991540026851,0.9887055158615112,16.48431158065796
v_proj_out,rot_absmax,2,0.5843245685100555,0.7440609727054834,2.333552807569504
v_proj_out,rot_absmax,3,0.07397005567327142,0.9650681465864182,11.309939831495285
v_proj_out,rot_absmax,4,0.013565849105361849,0.9932874534279108,18.6760311126709
v_proj_out,rot_lm,2,0.11535903881303966,0.9405542425811291,9.379754424095154
v_proj_out,rot_lm,3,0.03370815748348832,0.9830013308674097,14.7228362262249
v_proj_out,rot_lm,4,0.009260618971893564,0.9953563716262579,20.333793461322784
