base_k_bits,bits,compute_interpretation,ip_bias,ip_relative_mse,ip_variance,k_bits,key_relative_mse,key_scale_granularity,kv_quantizer,kv_rotation,layer,layer_index,method,method_key,output_cosine,output_relative_mse,projection_dim,qjl_seed,residual_bits,score_mse,score_relative_mse,softmax_kl,topk_overlap,v_bits,value_relative_mse,value_scale_granularity
3,K3,pure Hadamard-LM key reconstruction,0.6730214953422546,0.014078873209655285,48.8120002746582,3,0.03267483413219452,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.16.self_attn,16,hadamard_lm_k3,hadamard_lm_k3,0.9868773221969604,0.027094952762126923,64,16,0,0.7697649002075195,0.014078873209655285,0.23477822542190552,0.6537841558456421,4,0.00891602411866188,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,2.1526148319244385,0.04388611391186714,148.93304443359375,2,0.11336266249418259,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.16.self_attn,16,hadamard_lm_k2,hadamard_lm_k2,0.9531922340393066,0.10358767956495285,64,16,0,2.3994810581207275,0.04388611391186714,0.6678699254989624,0.5175536870956421,4,0.00891602411866188,per_token_head_rms
2,K2+QJL,Hadamard-LM key plus QJL residual correction,0.3292652368545532,0.08158605545759201,285.37841796875,2,0.11336266249418259,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.16.self_attn,16,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.9036949276924133,0.22192440927028656,64,16,1,4.4607319831848145,0.08158605545759201,1.4590933322906494,0.4443359375,4,0.00891602411866188,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,0.407825767993927,0.02434961497783661,85.03813171386719,3,0.03267483413219452,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.16.self_attn,16,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.9773144721984863,0.047221679240465164,64,16,1,1.3313195705413818,0.02434961497783661,0.3546335995197296,0.589770495891571,4,0.00891602411866188,per_token_head_rms
3,K3,pure Hadamard-LM key reconstruction,1.3078269958496094,0.011362853460013866,84.92869567871094,3,0.03018484078347683,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.19.self_attn,19,hadamard_lm_k3,hadamard_lm_k3,0.956504225730896,0.09655439853668213,64,19,0,1.3537360429763794,0.011362853460013866,0.2566564977169037,0.6676025390625,4,0.00911930575966835,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,6.561498641967773,0.037096939980983734,239.80223083496094,2,0.09882263839244843,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.19.self_attn,19,hadamard_lm_k2,hadamard_lm_k2,0.7994327545166016,0.5369135737419128,64,19,0,4.419617176055908,0.037096939980983734,1.040174126625061,0.5020996332168579,4,0.00911930575966835,per_token_head_rms
2,K2+QJL,Hadamard-LM key plus QJL residual correction,1.9917535781860352,0.05500093102455139,415.4021911621094,2,0.09882263839244843,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.19.self_attn,19,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.7948872447013855,0.54728102684021,64,19,1,6.552644729614258,0.05500093102455139,1.5797016620635986,0.47021484375,4,0.00911930575966835,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,1.6585814952850342,0.015790754929184914,117.64993286132812,3,0.03018484078347683,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.19.self_attn,19,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.9275286197662354,0.15555840730667114,64,19,1,1.8812627792358398,0.015790754929184914,0.45599856972694397,0.6189941167831421,4,0.00911930575966835,per_token_head_rms
3,K3,pure Hadamard-LM key reconstruction,2.2287209033966064,0.010082907974720001,135.14810180664062,3,0.03190028667449951,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.20.self_attn,20,hadamard_lm_k3,hadamard_lm_k3,0.9609684944152832,0.0795043483376503,64,20,0,2.1893017292022705,0.010082907974720001,0.5204858779907227,0.675463855266571,4,0.009110135026276112,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,5.214619159698486,0.03357068449258804,439.31671142578125,2,0.10786464065313339,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.20.self_attn,20,hadamard_lm_k2,hadamard_lm_k2,0.8858333230018616,0.2479558289051056,64,20,0,7.289202690124512,0.03357068449258804,1.4388015270233154,0.5051513910293579,4,0.009110135026276112,per_token_head_rms
2,K2+QJL,Hadamard-LM key plus QJL residual correction,0.04643833637237549,0.05437063053250313,755.5494995117188,2,0.10786464065313339,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.20.self_attn,20,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.8320444226264954,0.38293781876564026,64,20,1,11.80549430847168,0.05437063053250313,2.6766467094421387,0.46923828125,4,0.009110135026276112,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,-0.20764446258544922,0.014393641613423824,199.9755401611328,3,0.03190028667449951,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.20.self_attn,20,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.9324729442596436,0.1429412066936493,64,20,1,3.125291347503662,0.014393641613423824,0.771477460861206,0.652270495891571,4,0.009110135026276112,per_token_head_rms
3,K3,pure Hadamard-LM key reconstruction,1.6959847211837769,0.010300739668309689,106.57100677490234,3,0.03121194988489151,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.21.self_attn,21,hadamard_lm_k3,hadamard_lm_k3,0.9644491076469421,0.07381532341241837,64,21,0,1.7101151943206787,0.010300739668309689,0.5569236874580383,0.6458495855331421,4,0.009041087701916695,per_token_head_rms
2,K2,aggressive pure Hadamard-LM key reconstruction,4.998466491699219,0.03640385717153549,361.8134460449219,2,0.10289237648248672,per_token_head_rms,gaussian_lloyd_max,headwise_hadamard,model.layers.21.self_attn,21,hadamard_lm_k2,hadamard_lm_k2,0.9109581112861633,0.19204601645469666,64,21,0,6.043720245361328,0.03640385717153549,1.7914257049560547,0.493408203125,4,0.009041087701916695,per_token_head_rms
2,K2+QJL,Hadamard-LM key plus QJL residual correction,-0.37656593322753906,0.0569288544356823,604.7384643554688,2,0.10289237648248672,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.21.self_attn,21,hadamard_lm_k2_qjl,hadamard_lm_k2_qjl,0.9059006571769714,0.21105147898197174,64,21,1,9.451252937316895,0.0569288544356823,2.5145740509033203,0.4288574159145355,4,0.009041087701916695,per_token_head_rms
3,K3+QJL,stronger Hadamard-LM key plus QJL residual correction,-0.03474642336368561,0.016025450080633163,170.2723388671875,3,0.03121194988489151,per_token_head_rms,gaussian_lloyd_max+qjl,headwise_hadamard,model.layers.21.self_attn,21,hadamard_lm_k3_qjl,hadamard_lm_k3_qjl,0.952351987361908,0.09782924503087997,64,21,1,2.6605241298675537,0.016025450080633163,0.9068640470504761,0.5814453363418579,4,0.009041087701916695,per_token_head_rms
